w	(danh từ) w, w (v kép).
washer	(danh từ) (kỹ thuật) vòng đệm.
washer-up	(danh từ) người rửa bát đĩa.
washerman	(danh từ) thợ giặt.
washerwoman	(danh từ) chị thợ giặt.
washiness	(danh từ) tính chất loãng, tính chất nhạt (đồ ăn, rượu, cà phê...).
washiness	(danh từ) tính chất nhạt nhẽo; tính chất lòng thòng (văn học).
washing	(danh từ) sự tắm rửa, sự tắm gội, sự rửa ráy.
washing	(danh từ) sự giặt giũ.
washing	(danh từ) quần áo giặt.
washing	(danh từ) sự đãi quặng.
washing-bill	(danh từ) biên lai thanh toán giặt là.
washing-book	(danh từ) sổ theo dõi quần áo giặt.
washing-day	(danh từ) ngày giặt quần áo (ở nhà).
washing-house	(danh từ) chỗ giặt quần áo.
washing-house	(danh từ) (từ mỹ, nghĩa mỹ) hiệu giặt là.
washing-machine	(danh từ) máy giặt.
washing-powder	(danh từ) bột giặt.
washing-power	(danh từ) bột giặt.
washing-stand	(danh từ) giá rửa mặt.
washing-up	(danh từ) việc rửa bát (sau bữa cơm).
washwoman	(danh từ) thợ giặt nữ.
washy	(tính từ) loãng, nhạt, vô vị.
washy	(tính từ) nhạt, bạc thếch (màu sắc).
washy	(tính từ) không mặn mà, nhạt nhẽo; lòng thòng.
wasp	(danh từ) (động vật học) ong bắp cày.
wasp-waist	(danh từ) lưng ong.
wasp-waisted	(tính từ) thắt đáy lưng ong.
waspish	(tính từ) gắt gỏng, dễ cáu, bẳn tính.
waspish	(tính từ) chua chát, gay gắt, châm chọc; hiểm ác.
waspishness	(danh từ) tính gắt gỏng, tính cáu kỉnh.
waspishness	(danh từ) tính chua chát, tính hay châm chọc; tính hiểm ác.
waspy	(tính từ) xem waspish.
waspy	(tính từ) đầy ongg bắp cày.
wassail	(danh từ (từ cổ, nghĩa cổ)) tiệc rượu vui.
wassail	(danh từ (từ cổ, nghĩa cổ)) rượu tiệc (rượu uống trong tiệc rượu).
wassail	(nội động từ) mở tiệc rượu mua vui.
wassail-bowl	(danh từ) (từ cổ, nghĩa cổ) cốc rượu tiệc (như) wassail-cup.
wassail-cup	(danh từ) (từ cổ, nghĩa cổ) xem wassail-bowl.
wassailer	(danh từ) (từ cổ, nghĩa cổ) người hay nhậu nhẹt; tay nhậu.
wassailer	(danh từ) (từ cổ, nghĩa cổ) bợm rượu; sâu rượu.
wassailing	(danh từ) (từ cổ, nghĩa cổ) sự nhậu nhẹt; sự chè chén.
wassailing	(danh từ) (từ cổ, nghĩa cổ) tục lệ đi quanh các nhà hát mừng ngày thiên chúa giáng sinh.
wastage	(danh từ) sự hao phí, sự lãng phí, sự mất mát, sự phí phạm.
wastage	(danh từ) số lượng hao hụt, số lãng phí.
waste	(danh từ) (kinh tế học) chất thải.
waste	(tính từ) bỏ hoang, hoang vu (đất).
waste	(tính từ) bị tàn phá.
waste	(tính từ) bỏ đi, vô giá trị, không dùng nữa, bị thải đi.
waste	(tính từ) vô vị, buồn tẻ.
waste	(danh từ) sa mạc; vùng hoang vu, đất hoang.
waste	(danh từ) rác rưởi; thức ăn thừa.
waste	(danh từ) (kỹ thuật) vật thải ra, vật vô giá trị không dùng nữa.
waste	(danh từ) sự phung phí, sự lãng phí; sự hao phí.
waste	(ngoại động từ) lãng phí.
waste	(ngoại động từ) (từ mỹ, nghĩa mỹ) bỏ qua, để lỡ.
waste	(ngoại động từ) bỏ hoang (đất đai).
waste	(ngoại động từ) tàn phá.
waste	(ngoại động từ) làm hao mòn dần.
waste	(ngoại động từ) (pháp lý) làm hư hỏng, làm mất phẩm chất (của vật gì).
waste	(nội động từ) lãng phí, uổng phí.
waste	(nội động từ) hao mòn.
waste	(nội động từ) (từ cổ, nghĩa cổ) trôi qua (ngày, tháng...).
waste product	(danh từ) phế phẩm.
waste-basket	(danh từ) (từ mỹ, nghĩa mỹ) (như) waste-paper-basket.
waste-bin	(danh từ) sọt giấy vụn, sọt rác.
waste-book	(danh từ) (kế toán) sổ ghi tạm.
waste-paper	(danh từ) giấy lộn; giấy bị xem như hư hỏng, giấy không còn hữu ích.
waste-paper-basket	(danh từ) sọt giấy vụn, sọt rác.
waste-pipe	(danh từ) ống thoát nước bẩn.
waste-way	(danh từ) (từ mỹ, nghĩa mỹ) mương tháo nước thải.
wasted	(tính từ) (từ mỹ, nghĩa mỹ; tiếng lóng) nghiện ma túy.
wasteful	(tính từ) lãng phí, hoang phí, tốn phí.
wastefully	(phó từ) gây ra lãng phí.
wastefully	(phó từ) hoang phí, tốn phí, ngông cuồng, sử dụng nhiều quá sự cần thiết.
wastefulness	(danh từ) sự lãng phí, sự hoang phí.
wasteland	(danh từ) đất hoang, đất khô cằn; khu đất không thể sử dụng được, khu đất không sử dụng.
wasteland	(danh từ) hoang mạc.
wasteland	(danh từ) (nghĩa bóng) cuộc sống khô cằn (cuộc sống không sáng tạo được gì về văn hoá hoặc tinh thần).
wasteless	(tính từ) (từ hiếm, nghĩa hiếm) không cạn; vô tận.
waster	(danh từ) người lãng phí, người hoang phí.
waster	(danh từ) (kỹ thuật) phế phẩm; sản phẩm hỏng.
waster	(danh từ) (từ lóng) người vô dụng.
wasting	(danh từ) sự tàn phá, sự phá hoại.
wasting	(danh từ) sự hao mòn dần.
wasting	(tính từ) tàn phá, phá hoại.
wasting	(tính từ) làm hao mòn dần.
wastrel	(danh từ) (như) waster.
wastrel	(danh từ) (thông tục) lưu manh, cặn bã của xã hội; trẻ sống cầu bơ cầu bất.
wastrie	(anh từ) xem wastry.
wastry	(danh từ) sự lãng phí; sự xa xỉ (như) wastrie.
wasty	(tính từ) không chắc; chóng hỏng.
wasty	(tính từ) nhiều rác rưởi, nhiều tạp chất; không sạch.
watch	(danh từ) đồng hồ quả quít; đồng hồ đeo tay.
watch	(danh từ) sự canh gác, sự canh phòng.
watch	(danh từ) người canh gác, người canh phòng; người gác, người trực.
watch	(danh từ) tuần canh, phiên canh, phiên gác.
watch	(danh từ) (hàng hải) tổ trực (trên tàu thuỷ).
watch	(danh từ) (từ hiếm, nghĩa hiếm) sự thức đêm; buổi thức đêm.
watch	(danh từ) canh phòng, canh gác.
watch	(danh từ) thấp thỏm chờ; cảnh giác chờ đón.
watch	(nội động từ) thức canh, gác đêm.
watch	(nội động từ) (từ hiếm, nghĩa hiếm) thức, thức đêm.
watch	(ngoại động từ) canh gác; trông nom.
watch	(ngoại động từ) rình, theo dõi.
watch	(ngoại động từ) nhìn xem, quan sát, để ý xem.
watch	(ngoại động từ) chờ.
watch	(ngoại động từ) nhìn theo, theo dõi.
watch	(ngoại động từ) chờ, rình.
watch	(ngoại động từ) (từ mỹ, nghĩa mỹ) quan sát, để ý xem.
watch	(ngoại động từ) chú ý, để ý, coi chừng.
watch	(ngoại động từ) trông nom, canh gác.
watch	(ngoại động từ) bắt ai phải vào khuôn phép, bắt ai phải phục tùng.
watch	(ngoại động từ) đi thận trọng (cho khỏi ngã).
watch	(ngoại động từ) giữ gìn, thận trọng (cho khỏi sai lầm, cho khỏi bị thua thiệt).
watch	(ngoại động từ) (xem) pot.
watch-bell	(danh từ) (hàng hải) chuông báo giờ (trên tàu thủy).
watch-bell	(danh từ) (sử học) chuông báo động.
watch-boat	(danh từ) (hàng hải) ca nô tuần tiễu.
watch-box	(danh từ) chòi canh.
watch-bracelet	(danh từ) dây đồng hồ đeo tay.
watch-case	(danh từ) vỏ đồng hồ.
watch-chain	(danh từ) dây đồng hồ.
watch-cry	(danh từ) (sử học) tiếng kêu tuần tra đêm.
watch-cry	(danh từ) (số nhiều) điểm danh người gác.
watch-cry	(danh từ) khẩu hiệu; châm ngôn.
watch-dog	(danh từ) chó giữ nhà.
watch-dog	(danh từ) (nghĩa bóng) người bảo vệ, người kiểm tra, người giám hộ.
watch-fire	(danh từ) lửa báo hiệu.
watch-fire	(danh từ) lửa trại (lính).
watch-glass	(danh từ) kính đồng hồ.
watch-guard	(danh từ) dây đồng hồ (đeo ở áo).
watch-house	(danh từ) (quân sự) trạm gác, chòi canh.
watch-key	(danh từ) chìa khoá lên dây đồng hồ.
watch-light	(danh từ) (hàng hải) lửa báo hiệu.
watch-maker	(danh từ) thợ đồng hồ.
watch-night	(danh từ) đêm giao thừa.
watch-night service	(danh từ) khoá lễ đêm giao thừa; lễ giao thừa.
watch-pocket	(danh từ) túi để đồng hồ (ở áo gi lê).
watch-spring	(danh từ) lò xo đồng hồ.
watch-tower	(danh từ) chòi canh.
watchdog	(danh từ) chó giữ nhà.
watcher	(danh từ) người thức canh, người canh đêm.
watcher	(danh từ) người rình.
watcher	(danh từ) (từ mỹ, nghĩa mỹ) người quan sát theo dõi (tình hình).
watchet	(danh từ) (từ cổ, nghĩa cổ) màu xanh da trời.
watchet	(danh từ) vải màu xanh.
watchful	(tính từ) thận trọng, cảnh giác, đề phòng.
watchful	(tính từ) thức, thao thức, không ngủ.
watchfully	(phó từ) thận trọng, cảnh giác, đề phòng.
watchfully	(phó từ) canh chừng, theo dõi, quan sát kỹ.
watchfully	(phó từ) thức, thao thức, không ngủ.
watchfulness	(danh từ) tính thận trọng, tính cảnh giác.
watchfulness	(danh từ) sự đề phòng, sự để ý.
watching	(danh từ) sự canh phòng; sự theo dõi; sự trông coi.
watching brief	(danh từ) bản tóm tắt hồ sơ của một luật sư có mặt tại toà trong một vụ kiện (trong đó thân chủ của ông ta không trực tiếp liên quan) để khuyên bảo người đó và bảo vệ quyền lợi của anh ta.
watchless	(tính từ) không được canh phòng, không được trông coi.
watchless	(tính từ) cẩu thả; vô tư.
watchmaking	(danh từ) sự sản xuất đồng hồ.
watchman	(danh từ) người gác (một công sở...).
watchman	(danh từ) (từ cổ, nghĩa cổ) trương tuần.
watchmen	(danh từ) nhân viên bảo vệ (cơ quan, nhà máy, ngân hàng...nhất là vào ban đêm).
watchmen	(danh từ) <cổ> trương tuần.
watchword	(danh từ) (quân sự) khẩu lệnh.
watchword	(danh từ) khẩu hiệu (của đảng phái chính trị...).
watchwork	(danh từ) máy đồng hồ.
water	(danh từ) nước.
water	(danh từ) dung dịch nước, nước.
water	(danh từ) khối nước (của sông, hồ...).
water	(danh từ) sông nước; biển; đường thuỷ.
water	(danh từ) thuỷ triều, triều.
water	(danh từ) nước suối; nước tiểu.
water	(danh từ) nước, nước bóng, nước láng (của kim cương, kim loại, tơ lụa).
water	(danh từ) (hội họa) tranh màu nước.
water	(danh từ) chèo ngược.
water	(danh từ) (xem) deep.
water	(danh từ) (xem) low.
water	(danh từ) ở vào hoàn cảnh thuận lợi; thuận buồm xuôi gió.
water	(danh từ) làm ai thèm chảy dãi.
water	(danh từ) làm điều tốt không cần được trả ơn.
water	(danh từ) (xem) fire.
water	(danh từ) (xem) hold.
water	(danh từ) (xem) above.
water	(danh từ) như cá trên cạn; lạc lõng bỡ ngỡ trong một môi trường mới lạ.
water	(danh từ) tiêu tiền như nước.
water	(danh từ) (xem) deep.
water	(danh từ) giội gáo nước lạnh vào; làm cho nản chí.
water	(danh từ) nhất thời (tiếng tăm); chóng bị quên (thành tích).
water	(ngoại động từ) tưới, tưới nước.
water	(ngoại động từ) cho uống nước.
water	(ngoại động từ) cung cấp nước.
water	(ngoại động từ) pha nước vào.
water	(ngoại động từ) làm gợn sóng, làm cho có vân sóng (trên tơ lụa).
water	(ngoại động từ) (tài chính) làm loãng (vốn).
water	(nội động từ) uống nước, đi uống nước.
water	(nội động từ) lấy nước ngọt, lấy nước (tàu thuỷ, ô tô).
water	(nội động từ) chảy nước, ứa nước.
water	(nội động từ) giảm bớt đi, làm dịu đi.
water bus	(danh từ) ca nô (chở khách).
water pump	(danh từ) máy bơm nước.
water system	(danh từ) hệ thống dẫn nước.
water-bag	(danh từ) bao da (đựng rượu; nước).
water-bearer	(danh từ) người chở nước.
water-bed	(danh từ) (y học) nệm nước (bằng cao su, trong có nước, cho bệnh nhân nằm).
water-bird	(danh từ) chim nước (có thể bơi hoặc lội trong nước, nhất là nước ngọt).
water-biscuit	(danh từ) bánh quy cứng.
water-blister	(danh từ) mụn nước; chỗ da phồng; chỗ mọng nước.
water-boat	(danh từ) tàu thuỷ chở nước ngọt.
water-boots	(danh từ) ủng cao su; ủng đi bùn.
water-borne	(tính từ) chở bằng đường thuỷ (hàng).
water-borne	(tính từ) (y học) lây lan bằng nước uống (bệnh).
water-bottle	(danh từ) bình đựng nước, carap (ở bàn ăn...); bi đông.
water-bucket	(danh từ) xô lấy nước.
water-buffalo	(danh từ) (động vật học) con trâu.
water-bus	(danh từ) tàu chở khách.
water-can	(danh từ) bi đông; bình toong.
water-can	(danh từ) (thực vật học) tiếng lóng cây hoa súng, cây bông súng.
water-cannon	(danh từ) súng phun nước, vòi rồng (dùng để giải tán một đám đông bạo loạn ).
water-carriage	(danh từ) sự vận tải bằng đường thuỷ.
water-carrier	(danh từ) người chở nước.
water-carrier	(danh từ) thùng chứa nước.
water-carrier	(danh từ) phương tiện vận tải đường thủy; tàu; thuyền.
water-cart	(danh từ) xe bán nước.
water-cart	(danh từ) xe tưới đường.
water-clock	(danh từ) đồng hồ nước (đồng hồ căn cứ theo dòng nước chảy mà tính thời gian).
water-closet	(danh từ) nhà xí máy.
water-color	(danh từ) <snh> màu nước.
water-color	(danh từ) tranh vẽ bằng màu nước.
water-colour	(danh từ) hoạ màu nước.
water-colour	(danh từ) tranh màu nước.
water-colourist	(danh từ) hoạ sĩ vẽ thuốc nước.
water-company	(danh từ) công ty cấp nước.
water-cool	(ngoại động từ) (kỹ thuật) vậ dụng kỹ thuật làm lạnh bằng nước.
water-cooled	(tính từ) (kỹ thuật) làm lạnh bằng nước (máy).
water-cooler	(danh từ) (kỹ thuật) bộ phận làm lạnh bằng nước; ra-đi-a-tơ; bộ tản nhiệt.
water-cracker	(danh từ) bánh qui khô; bánh mì khô; lương khô.
water-craft	(danh từ) tàu; tàu bè.
water-craft	(danh từ) tài lái tàu; tài bơi, tài lặn.
water-cure	(danh từ) (y học) phép chữa bằng nước.
water-cycle	(danh từ) (thể dục, thể thao) xe đạp nước.
water-dog	(danh từ) (động vật học) chó bơi giỏi.
water-dog	(danh từ) đùa cợt) thuỷ thủ lão luyện; người bơi giỏi.
water-drainage	(danh từ) sự tiêu thủy; hệ thống thoát nước.
water-drinker	(danh từ) người kiêng rượu.
water-drop	(danh từ) giọt mưa.
water-drop	(danh từ) giọt nước mắt.
water-engine	(danh từ) máy bơm nước.
water-engine	(danh từ) ô tô chữa cháy.
water-flood	(danh từ) lụt; lũ lụt.
water-flood	(danh từ) biển động.
water-front	(danh từ) (từ mỹ, nghĩa mỹ) khu cảng; bờ sông; bến tàu, bến cảng.
water-furrow	(danh từ) rãnh thoát nước.
water-furrow	(nội động từ) đào rãnh thoát nước.
water-gas	(danh từ) hơi nước; hơi.
water-gate	(danh từ) cửa cống.
water-gauge	(danh từ) cái đo mực nước (trong nồi hơi...).
water-glass	(danh từ) ống nhìn vật chìm.
water-glass	(danh từ) (hoá học) dung dịch natri silicat (dùng để phết vào ngoài trứng cho để được lâu...).
water-hammer	(danh từ) tiếng ọc ọc (tiếng đập trong ống dẫn nước khi mở hoặc tắt nước).
water-hen	(danh từ) (động vật học) gà nước.
water-hen	(danh từ) chim sâm cầm.
water-hole	(danh từ) vũng nước.
water-ice	(danh từ) kem nước đá, xê cô.
water-jump	(danh từ) nơi con ngựa phải nhảy qua nước (một hàng rào có nước bên cạnh trong nhảy biểu diễn, đua ngựa vượt rào ).
water-lawyer	(danh từ) (đùa cợt) cá mập.
water-lead	(danh từ) lối đi giữa băng.
water-level	(danh từ) mực nước (trong bình, dưới đất...).
water-level	(danh từ) (kỹ thuật) ống thuỷ.
water-lily	(danh từ) (thực vật học) cây súng.
water-line	(danh từ) (hàng hải) mớn nước, ngấn nước (ở tàu...).
water-main	(danh từ) ống dẫn nước chính.
water-meadow	(danh từ) cánh đồng cỏ phì nhiêu (vì từng thời kỳ lại ngập nước một con suối).
water-melon	(danh từ) quả dưa hấu.
water-melon	(danh từ) (thực vật học) cây dưa hấu.
water-meter	(danh từ) đồng hồ đo nước; thủy lượng kế.
water-mill	(danh từ) cối xay nước.
water-mouth	(danh từ) (xcôtlân) cửa sông.
water-nymph	(danh từ) nữ thuỷ thần (thần thoại hy lạp).
water-parting	(danh từ) đường phân thủy.
water-pipe	(danh từ) ống nước.
water-pistol	(danh từ) súng nước (trò chơi của trẻ con).
water-plane	(danh từ) (hàng hải) mặt phẳng ngấn nước (ở thành tàu).
water-plant	(danh từ) (thực vật học) cây ở nước.
water-polo	(danh từ) (thể dục, thể thao) bóng nước.
water-pot	(danh từ) bình đựng nước (bằng gốm).
water-pot	(danh từ) bình tưới.
water-power	(danh từ) sức nước, than trắng.
water-pox	(danh từ) bệnh thủy đậu.
water-quake	(danh từ) trận động đất đáy biển.
water-ram	(danh từ) (kỹ thuật) bơm nước va.
water-rat	(danh từ) (động vật học) rái cá (động vật giống, con chuột, bơi ở dưới nước và sống trong hang bên bờ sông, bờ hồ...).
water-rate	(danh từ) tiền nước (tiền phải trả cho việc sử dụng nước của một nơi cung cấp nước công cộng).
water-shoot	(danh từ) máng xối (ở mái nhà).
water-sick	(tính từ) (nông nghiệp) cằn cỗi vì tưới đẫm nước quá (đất trồng).
water-ski	(danh từ) (thường snh) ván lướt nước.
water-skiing	(danh từ) (thể dục, thể thao) môn lướt ván nước.
water-skin	(danh từ) túi da đựng nước.
water-sking	(danh từ) <thể> môn lướt ván nước.
water-skis	(danh từ) (thể dục, thể thao) ván lướt (trên nước).
water-snake	(danh từ) rắn nước.
water-soak	(ngoại động từ) ngâm nước; làm đẫm nước.
water-softener	(danh từ) thiết bị làm mềm nước cứng; chất làm mềm nước cứng.
water-soluble	(tính từ) hoà tan trong nước.
water-sprayer	(danh từ) bình phun nước, máy phun nước.
water-spring	(danh từ) (thơ ca) suối.
water-sprite	(danh từ) thần nước, thần suối; hà bá.
water-supply	(danh từ) việc cung cấp nước.
water-supply	(danh từ) hệ thống cung cấp nước.
water-supply	(danh từ) khối nước trữ để cung cấp.
water-system	(danh từ) con sông cùng các chi lưu.
water-system	(danh từ) hệ thống dẫn nước.
water-table	(danh từ) mức nước ngầm.
water-tap	(danh từ) vòi nước.
water-tower	(danh từ) tháp nước.
water-turbine	(danh từ) tuốc bin nước; tuốc bin thủy lực.
water-waggon	(danh từ) xe bán nước.
water-waggon	(danh từ) xe tưới đường.
water-wagon	(danh từ) xe bán nước.
water-wagon	(danh từ) xe tưới đường.
water-wall	(danh từ) đê, đập.
water-wave	(danh từ) sóng biển.
water-wave	(danh từ) sự uốn tóc nguội, sự phi dê nguội.
water-waving	(danh từ) sự uốn làn sóng (tóc).
water-weed	(danh từ) tảo; rong.
water-wheel	(danh từ) bánh xe nước.
water-wings	(danh từ) phao tập bơi.
water-worn	(tính từ) bị nước bào mòn.
waterage	(danh từ) sự vận tải đường thuỷ.
waterage	(danh từ) cước phí vận tải đường thuỷ.
waterborne	(tính từ) chở bằng đường thuỷ (hàng hoá).
waterborne	(tính từ) (y học) lây lan bằng nước uống, lan truyền qua việc dùng nước nhiễm trùng (bệnh tật).
waterboy	(danh từ) (từ mỹ, nghĩa mỹ) đứa (bé) chở nước.
waterboy	(danh từ) (tiếng lóng) đứa xu nịnh; kẻ bợ đỡ.
watercourse	(danh từ) sông, suối.
watercourse	(danh từ) lòng sông, lòng suối.
watercress	(danh từ) (thực vật học) cải xoong.
watered	(tính từ) pha nước, pha loãng (rượu...).
watered	(tính từ) có nhiều sông hồ (miền).
watered	(tính từ) có vân sóng (lụa).
watered silk	(danh từ) lụa vân (lụa có bề mặt bóng với những vân sóng không đều).
waterer	(danh từ) người tưới nước.
waterer	(danh từ) người dẫn súc vật đi uống nước.
waterfall	(danh từ) thác nước.
waterfowl	(danh từ) (động vật học) chim ở nước (mòng két, le le...).
wateriness	(danh từ) tính chất ướt, tính chất có nước.
wateriness	(danh từ) tính chất loãng, tính chất nhạt.
wateriness	(danh từ) màu bạc thếch.
wateriness	(danh từ) tính chất nhạt nhẽo vô vị.
watering	(danh từ) sự tưới, sự tưới nước.
watering	(danh từ) sự cho súc vật uống nước.
watering	(danh từ) sự pha nước, sự pha loãng (rượu, sữa...).
watering	(danh từ) (kỹ thuật) sự cung cấp nước (cho máy).
watering	(danh từ) sự làm vân sóng (cho tơ lụa).
watering	(danh từ) (tài chính) sự làm loãng (vốn, nợ).
watering-can	(danh từ) bình tưới.
watering-cart	(danh từ) xe tưới đường.
watering-house	(danh từ) (từ cổ, nghĩa cổ) quán trọ; lữ điếm (cho xà ích).
watering-place	(danh từ) nơi cho súc vật uống nước.
watering-place	(danh từ) nơi có suối chữa bệnh.
watering-place	(danh từ) chỗ tàu ghé lấy nước.
watering-place	(danh từ) bãi biển (để tắm, nghỉ mát).
watering-pot	(danh từ) bình tưới.
waterish	(tính từ) lắm nước (quả).
waterish	(tính từ) ẩm thấp (không khí).
waterless	(tính từ) không có nước; khô, hạn.
waterlog	(ngoại động từ) làm ngập nước; đánh chìm (tàu).
waterlog	(ngoại động từ) làm cho lầy lội.
waterlog	(ngoại động từ) ngâm; đầm; làm ướt.
waterlogged	(tính từ) nặng vì đẫy nước (gỗ).
waterlogged	(tính từ) úng nước, ngập nước (đất).
waterlogged	(tính từ) (hàng hải) đầy nước.
waterlogging	(danh từ) sự úng nước.
waterman	(danh từ) người làm nghề chạy thuyền; người chuyên chở đường sông.
watermanship	(danh từ) nghề đưa đò.
watermanship	(danh từ) môn bơi thuyền nghệ thuật.
watermark	(danh từ) ngấn nước (trong giếng, ở bãi biển, bãi sông).
watermark	(danh từ) hình mờ (ở tờ giấy, soi lên mới thấy rõ).
waterpolo	(danh từ) (thể dục, thể thao) bóng nước (trò chơi thi đấu giữa hai đội người bơi lội dưới nước tìm cách ném một quả bóng vào một khung thành).
waterproof	(tính từ) không thấm nước.
waterproof	(danh từ) áo mưa.
waterproof	(danh từ) vải không thấm nước.
waterproof	(ngoại động từ) làm cho không thấm nước.
watershed	(danh từ) đường phân nước.
watershed	(danh từ) lưu vực sông.
watershed	(danh từ) dốc có nước chảy.
waterside	(danh từ) bờ biển, bờ sông, bờ hồ.
waterskier	(danh từ) người lướt ván nước, vận động viên lướt ván nước.
waterspout	(danh từ) ống máng, máng xối.
waterspout	(danh từ) vòi rồng; cây nước.
watertight	(tính từ) kín nước.
watertight	(tính từ) (nghĩa bóng) không thể cãi, không công kích được; vững chắc, chặt chẽ (lập luận, lý lẽ...).
waterway	(danh từ) đường sông tàu bè qua lại được.
waterworks	(danh từ) hệ thống cung cấp nước.
waterworks	(danh từ) vòi phun nước (ở công viên...).
waterworks	(danh từ) (từ lóng) khóc.
watery	(tính từ) ướt, đẫm nước, sũng nước.
watery	(tính từ) loãng, lỏng, nhạt.
watery	(tính từ) bạc thếch (màu).
watery	(tính từ) nhạt nhẽo, vô vị.
watt	(danh từ) (điện học) oát.
watt-hour	(danh từ) (điện học) oát giờ.
wattage	(danh từ) lượng điện năng được biểu hiện bằng oát.
wattle	(danh từ) yếm thịt (ở dưới cổ gà tây).
wattle	(danh từ) râu cá.
wattle	(danh từ) cọc, cừ (để giữ đất khỏi lở).
wattle	(danh từ) phên, liếp.
wattle	(danh từ) (thực vật học) cây keo.
wattle	(ngoại động từ) đan (que...) thành phên liếp.
wattle	(ngoại động từ) làm (tường, hàng rào...) bằng phên liếp.
wattle and daub	(danh từ) phên trét đất (bùn).
wattless	(tính từ) (điện học) không có điện; không sinh điện.
wattmeter	(danh từ) (điện học) cái đo oát.
waul	(nội động từ) kêu meo meo (mèo).
wave	(danh từ) sóng, làn sóng (nghĩa đen & nghĩa bóng).
wave	(danh từ) đợt.
wave	(danh từ) sự vẫy tay ra hiệu; cái vẫy tay.
wave	(nội động từ) gợn sóng, quăn thành làn sóng.
wave	(nội động từ) phấp phới, phấp phới bay.
wave	(nội động từ) vẫy tay ra hiệu.
wave	(ngoại động từ) phất, vung.
wave	(ngoại động từ) uốn (tóc) thành làn sóng.
wave	(ngoại động từ) vẫy tay ra hiệu.
wave	(ngoại động từ) bác bỏ, gạt bỏ.
wave-length	(danh từ) (vật lý) bước sóng.
wave-like	(tính từ) giống như sóng; tựa sóng.
wave-like	(phó từ) như sóng.
waveband	(danh từ) băng tần (radio).
waved	(tính từ) lượn sóng (tóc, nét vẽ...).
waveguide	(danh từ) (kỹ thuật) ống dẫn sóng; đường sóng.
waveless	(tính từ) không có sóng, không gợn sóng, lặng sóng.
wavelet	(danh từ) sóng gợn lăn tăn.
wavelet	(danh từ) làn sóng hơi quăn (tóc).
waver	(nội động từ) rung rinh, chập chờn (ngọn lửa); rung rung (giọng nói).
waver	(nội động từ) (quân sự) nao núng, núng thế.
waver	(nội động từ) (nghĩa bóng) lung lay, do dự, lưỡng lự, ngập ngừng; dao động.
waverer	(danh từ) người do dự, người lưỡng lự; người dao động.
wavering	(tính từ) rung rinh, chập chờn (ngọn lửa); rung rung (giọng nói).
wavering	(tính từ) (quân sự) nao núng, núng thế.
wavering	(tính từ) (nghĩa bóng) lung lay, do dự, lưỡng lự; dao động.
wavery	(tính từ) xem wavering.
waveson	(danh từ) hàng trôi giạt sau khi tàu đắm.
wavily	(phó từ) theo dạng sóng.
waviness	(tính từ) tình trạng có gợn sóng; sự quăn làn sóng tự nhiên (tóc).
wavy	(tính từ) gợn sóng; giập giờn, lăn tăn (mặt hồ, cánh đồng lúa...); quăn làn sóng (tóc).
wawl	(danh từ) (phương ngữ) tiếng rú, tiếng gầm, tiếng gào; tiếng la, tiếng thét, tiếng la ó.
wawl	(nội động từ) (phương ngữ) rú; gầm; gào; la; thét; la ó.
wax	(danh từ) sáp ong.
wax	(danh từ) chất sáp.
wax	(danh từ) (từ mỹ, nghĩa mỹ), (thông tục) đĩa hát.
wax	(ngoại động từ) đánh sáp, đánh bóng bằng sáp, bôi sáp, vuốt sáp.
wax	(nội động từ) tròn dần (trăng).
wax	(nội động từ) (từ cổ, nghĩa cổ) trở nên.
wax	(danh từ) (từ lóng) cơn giận.
wax candle	(danh từ) nến (bằng sáp).
wax doll	(danh từ) búp bê sáp.
wax doll	(danh từ) (nghĩa bóng) người đàn bà xinh đẹp nhưng không tinh anh.
wax-chandler	(danh từ) người làm nến.
wax-chandler	(danh từ) người bán nến.
wax-end	(danh từ) chỉ vuốt nhựa.
wax-light	(danh từ) nến sáp.
wax-palm	(danh từ) (thực vật học) cây cọ sáp.
wax-paper	(danh từ) giấy nến.
wax-tree	(danh từ) cây sơn.
waxcloth	(danh từ) vải nến, linôlêum.
waxed	(tính từ) bôi sáp.
waxen	(tính từ) giống sáp; màu sáp, vàng nhạt (như sáp).
waxen	(tính từ) (nghĩa bóng) mềm yếu, dễ ảnh hưởng; dễ uốn nắn.
waxen	(tính từ) (từ cổ, nghĩa cổ) bằng sáp.
waxwork	(danh từ) thuật nặn hình bằng sáp.
waxwork	(danh từ) hình nặn bằng sáp.
waxwork	(danh từ) (số nhiều) viện bảo tàng đồ sáp (trưng bày các hình nặn bằng sáp, như viện bảo tàng grê-vanh ở pa-ri).
waxy	(tính từ) giống sáp; có màu sáp, vàng nhợt nhạt.
waxy	(tính từ) (y học) thoái hoá sáp (gan...).
waxy	(tính từ) (từ lóng) nóng tính, hay cáu.
waxy-flowered	(tính từ) có hoa sáp; có hoa phấn.
waxy-fruited	(tính từ) có quả sáp; có quả phấn.
waxy-leaved	(tính từ) có lá sáp; có lá phấn.
waxy-seeded	(tính từ) có quả sáp; có quả phấn.
way	(danh từ) đường, đường đi, lối đi.
way	(danh từ) đoạn đường, quãng đường, khoảng cách.
way	(danh từ) phía, phương, hướng, chiều.
way	(danh từ) cách, phương pháp, phương kế, biện pháp.
way	(danh từ) cá tính, lề thói.
way	(danh từ) việc; phạm vi, thẩm quyền.
