a-đô-nít	(dtừ) adonis.
án phí	() costs.
án phí kháng cáo	() appeal costs.
án sát	(dtừ) feudal provincial mandarin in charge of criminal cases.
án sát	(dtừ) judge, provincial judge.
án thờ	(dtừ) altar.
án thư	(dtừ) high and narrow table, desk.
án tiết	(dtừ) detail of law-suit.
án treo	() suspended sentence.
án treo	() probation.
án tù	() prison sentence.
án tù	() imprisonment.
án tù chung thân	(dtừ) life-sentence.
án tù khổ sai	(dtừ) lag.
án tử hình	() capital punishment.
án tử hình	() death sentence.
án tử hình	() death penalty.
án văn	() written sentence (of a court).
án vắng mặt	() judgement by default/in absentia.
áng	() fleece (of cloud).
áng	() remarkable piece (of literary work).
áng	() a glorious period (of war).
áng	() to make a rough estimate.
áng chừng	() to make a rough estimate.
áng chừng	() about.
áng chừng	() approximately.
áng mây	(dtừ) cluster of clouds.
áng như	() as though, as if, it seems.
ánh	(dtừ) clove.
ánh	(dtừ) light, glare.
ánh	(dtừ) lustre.
ánh	(ttừ) glistening, sparkling, glittering, glaring.
ánh	(đtừ) to beam, to ray, to gleam.
ánh ban mai	(dtừ) aurora.
ánh bạc	() silver.
ánh băng	(dtừ) iceblink, blink.
ánh bắc cực	(dtừ) polar lights.
ánh chói	(dtừ) glare.
ánh đất	(dtừ) earth-shine.
ánh đen trắng	(dtừ) black and white.
ánh đèn	() lamplight.
ánh đèn khí	(dtừ) gaslight.
ánh đèn quảng cáo	(dtừ) limelight.
ánh đuốc	(đtừ) torchlight.
ánh hào quang	(dtừ) radiance.
ánh hồng	(dtừ) flame, blush.
ánh hồng	(ttừ) auroral.
ánh hồng ban chiều	(dtừ) afterglow.
ánh hồng lúc bình minh	(dtừ) aurora.
ánh lân quang	(thngữ) fairy sparks.
ánh lấp lánh	(dtừ) glisten, sparkle.
ánh lập lòe	(dtừ) gleam.
ánh lên	() alight with ....
ánh lên dịu dàng	(ttừ) lambent.
ánh lên vì	(ngđtừ) scintillate.
ánh lóe	(dtừ) spark.
ánh lửa	(dtừ) glow of a fire.
ánh lửa	(dtừ) firelight.
ánh lửa bập bùng	(dtừ) flicker.
ánh lửa chập chờn	(dtừ) blink.
ánh lửa lung linh	(dtừ) blink.
ánh màu hung hung	(ttừ) fulvescent.
ánh mắt	() glint.
ánh mắt	() look.
ánh mặt trời	() sunlight.
ánh mặt trời lóe sáng	(dtừ) sunburst.
ánh nắng	() sunlight.
ánh nắng	() sunshine.
ánh nắng ban mai	() morning sunlight.
ánh nắng ban ngày	(dtừ) daylight.
ánh phản chiếu	(dtừ) reflection, gleam.
ánh phản xạ	(dtừ) reflection.
ánh sao	() starlight.
ánh sáng	() light.
ánh sáng ban ngày	(dtừ) light.
ánh sáng báo hiệu	(dtừ) flare.
ánh sáng bên	(dtừ) sidelight.
ánh sáng bố trí ở sân khấu	(dtừ) lighting.
ánh sáng chói	(dtừ) blaze, dazzle.
ánh sáng chói lọi	(dtừ) refulgence, radiance.
ánh sáng cuối đường hầm	(thngữ) light at the end of the tunnel.
ánh sáng của thiên bẩm	(thngữ) by the light of nature.
ánh sáng của thượng đế	(dtừ) light.
ánh sáng đèn	(dtừ) lamplight, limelight.
ánh sáng đèn nến	(dtừ) candle-light.
ánh sáng gián tiếp	(dtừ) indirect lighting.
ánh sáng lấp lánh	(dtừ) glitter, twinkle.
ánh sáng lóe	(dtừ) flare.
ánh sáng lóe lên	(dtừ) flash.
ánh sáng lò sưởi	(dtừ) fire-light.
ánh sáng lờ mờ	(dtừ) glimmer, rushlight.
ánh sáng lung linh	(dtừ) flicker, shimmer.
ánh sáng mặt trời	(dtừ) sunlight, light, sunshine.
ánh sáng mờ mờ	(dtừ) shimmer.
ánh sáng nhân tạo	(dtừ) lamplight.
ánh sáng nhấp nháy	(dtừ) blink.
ánh sáng ở cuối đường hầm	(thngữ) light of the end of the tunnel.
ánh sáng phản chiếu	(dtừ) reflex.
ánh sáng phía sau	(dtừ) afterlight.
ánh sáng rực rỡ	(dtừ) glow, radiance, lustre.
ánh sáng sao	(dtừ) starlight.
ánh sáng tỏa	(dtừ) indirect lighting.
ánh sáng trăng	(dtừ) moonlight.
ánh sáng xiên	(dtừ) cross-light.
ánh sáng yếu ớt	(dtừ) rushlight.
ánh sảng tỏa trên tranh	(dtừ) lighting.
ánh trăng	() moonlight.
ánh tượng	(dtừ) map.
ánh xạ	() (toán học) mapping.
áo	() austria.
áo	() jacket.
áo	() coat.
áo	() tunic.
áo	() dress.
áo	() gown.
áo	() blouse.
áo	() shirt.
áo	() wrapping.
áo	() coat.
áo aba	(dtừ) aba.
áo bà ba	(dtừ) kind of shirt used by south vietnamese people.
áo bà ba	(dtừ) loose-fitting blouse.
áo bành tô	(dtừ) coat, greatcoat, chesterfield, top-coat.
áo bành tô bằng vải phi	(dtừ) fearnought.
áo bành tô mặc trong	(dtừ) undercoat.
áo bào	(dtừ) pall, pallium.
áo bào vàng	(dtừ) yellow jacket.
áo bằng da lông chó biển	(dtừ) sealskin.
áo bằng li e	(dtừ) cork-jacket.
áo bluzông	(dtừ) shell-jacket.
áo bôlêrô	(dtừ) bolero.
áo bờ-lu	(dtừ) blouse.
áo bờ lu	(dtừ) garibaldi, smock.
áo bờ lu nữ	(dtừ) shirt-waist.
áo ca pốt	(dtừ) capote.
áo captan	(dtừ) caftan.
áo cánh	(dtừ) short jacket.
áo cà sa	(dtừ) monk's robe.
áo cấp cứu	(dtừ) life-jacket.
áo cẩm bào	(dtừ) imperial robe made of brocade.
áo che mưa dày của công nhân	(thngữ) donkey jacket.
áo chẽn	(dtừ) waist, tunic.
áo chẽn bằng da	(dtừ) jerkin.
áo chẽn đàn ông	(dtừ) doublet.
áo chẽn ngắn	(dtừ) monkey-jacket.
áo choàng	() overcoat.
áo choàng	() blouse.
áo choàng	() smock.
áo choàng bằng da lông chồn zibelin	(dtừ) sable.
áo choàng bằng lông	(dtừ) pelisse.
áo choàng bằng vải sọc	(dtừ) petersham.
áo choàng có mũ	(dtừ) capuchin.
áo choàng có mũ trùm đầu	(dtừ) capote.
áo choàng da lông	(dtừ) kaross.
áo choàng dài	(dtừ) frock-coat, surtout.
áo choàng đàn bà	(dtừ) wrapper.
áo choàng đi mưa	(dtừ) trench coat.
áo choàng đi xem hát	(dtừ) opera-cloak.
áo choàng đỏ của người săn cáo	(dtừ) pink.
áo choàng không tay	(dtừ) mantle, cape, cloak.
áo choàng len sọc vuông	(dtừ) plaid.
áo choàng mặc cưỡi ngựa	(dtừ) joseph.
áo choàng mặc trong nhà	(dtừ) robe.
áo choàng mặt sau khi tắm	(dtừ) bath-robe.
áo choàng ngắn	(dtừ) mantelet, sack-coat.
áo choàng ngắn	(thngữ) covert coat.
áo choàng ngoài	(dtừ) banian, coat.
áo choàng ponsô	(dtừ) poncho.
áo choàng rộng	(dtừ) pallium, sports-coat.
áo choàng rộng tay	(dtừ) dolman.
áo choàng tắm của đàn bà	(dtừ) peignoir.
áo choàng trùm kín đầu	(dtừ) burnous.
áo choàng untơ	(dtừ) ulster.
áo choàng vai	(dtừ) mantelet, palatine, scapulary.
áo chống đạn	(thngữ) flak jacket.
áo chửa	(dtừ) smock.
áo có khuy xà cừ	(dtừ) pearlies.
áo có viền lông	(dtừ) pelisse.
áo cô dâu	() xem áo cưới.
áo cối	(dtừ) cloth wrapped round the mortar when husking rice.
áo cộc	(dtừ) roundabout, blazer.
áo cưới	() wedding dress.
áo cưới	() bridal gown.
áo cứu đắm	() life-jacket.
áo cứu đắm	() life-preserver.
áo da	(dtừ) leather jacket.
áo dài	(dtừ) oriental robe.
áo dài	(dtừ) vietnamese dress (the long split tunic typically worn by vietnamese women).
áo dài kiểu rộng	(dtừ) tea-gown.
áo dài rộng của phụ nữ	(dtừ) caftan.
áo dài thắt ngang lưng	(dtừ) tunic.
áo dài trắng	(dtừ) alb.
áo dãi	(dtừ) bibs, slabbering-bib.
áo dạ hội	(dtừ) evening dress.
áo dễ cởi	(dtừ) slip-on.
áo dễ mặc	(dtừ) slip-on.
áo đan	(dtừ) sweater.
áo đàn bà chửa	(dtừ) maternity robe.
áo đầm	() xem đầm 4.
áo đi mưa	() waterproof.
áo đi mưa	() raincoat.
áo đi mưa	() mackintosh.
áo đi săn	(dtừ) shooting-coat.
áo đôman	(dtừ) dolman.
áo đôminô	(dtừ) domino.
áo đơn	(dtừ) unlined garment.
áo đuôi én	(dtừ) dress-coat.
áo đuôi én	(thngữ) claw-hammer coat.
áo đuôi ngắn	(dtừ) coatee.
áo đuôi tôm	() cut-away.
áo đuôi tôm	() tailcoat.
áo đuôi tôm	() tails.
áo gấm	(dtừ) brocaded robe.
áo ghế	(dtừ) antimacassar.
áo gi lê	() waistcoat.
áo giáp	() armour.
áo giáp	() cuirass.
áo giáp	() breastplate.
áo giáp dài	(dtừ) hauberk.
áo giáp không tay	(dtừ) habergeon.
áo gió	(dtừ) wind-breaker.
áo gió	(dtừ) wind-cheater.
áo giữ nhiệt	(dtừ) jacket.
áo gối	(dtừ) pillow-case, pillow slip.
áo hạt	(dtừ) aril.
áo hoa	(dtừ) flowered shirt.
áo hộ thân	(dtừ) mae west.
áo hơi	(dtừ) air-jacket, steam-jacket.
áo hở vai	(dtừ) décollete.
áo kép	(dtừ) lined dress.
áo khách	(dtừ) chinese-styled jacket.
áo khách	(dtừ) overcoat, topcoat.
áo khách	(dtừ) street-clothes.
áo khăn	(dtừ) clothes and hat, full dress.
áo khoác	(dtừ) overcoat.
áo khoác bằng vải dày	(dtừ) dreadnought.
áo khoác không tay	(dtừ) cloak.
áo khoác ngắn	(đtừ) topper, mantilla.
áo khoác ngắn của quân đội	(thngữ) british warm.
áo khoác ngoài	(dtừ) outerwear, paletot, smock, overcoat, dressing-gown.
áo khoác ngoài áo giáp	(dtừ) tabard.
áo khoác ngoài mặc ở phòng hút thuốc	(dtừ) smoking-jacket.
áo khoác ngoài mỏng nhẹ của phụ nữ	(dtừ) nôgligô.
áo khoát ngắn có mũ liền	(dtừ) duffel coat.
áo kimônô	(dtừ) kimono.
áo lá	(dtừ) undervest.
áo lá	(dtừ) palm-leaf raincoat.
áo lá	(dtừ) raincoat (made of palm leaves).
áo lành	(dtừ) clothes in good condition.
áo lạnh	(dtừ) sweater.
áo lạnh	(dtừ) pullover.
áo lặn	(dtừ) diving-suit, diving-dress.
áo len	(dtừ) sweater, jumper.
áo len chui cổ	(dtừ) jersey.
áo len chui đầu	(dtừ) pull-over.
áo len dài tay	(dtừ) sweater.
áo len đan	(dtừ) cardigan.
áo lễ	(dtừ) chasuble.
áo long bào	(dtừ) imperial robe (with dragon design).
áo lót	(dtừ) undervest.
áo lót	(dtừ) undershirt.
áo lót dệt kim ngắn tay	(dtừ) tee-shirt, t-shirt.
áo lót may liền với quần đùi	(dtừ) cami-knickers.
áo lót mình	(dtừ) singlet, semmit.
áo lót phụ nữ	(dtừ) chemise, smock.
áo lông ngỗng	(dtừ) goose feather coat.
áo may liền với quần	(dtừ) jumper.
áo may ô	(dtừ) singlet.
áo máy	(dtừ) equipment cover.
áo màu sặc sỡ	(dtừ) blazer.
áo màu tía	(dtừ) purple.
áo mão	(dtừ) bonnet and gown.
áo mão	(dtừ) academic cap and gown.
áo măng tô	(dtừ) overcoat.
áo mặc buổi sáng	(dtừ) morning dress.
áo mặc cho người điên	(dtừ) strait-jacket.
áo mặc chui qua đầu	(dtừ) slip-on.
áo mặc ngoài	(dtừ) overdress.
áo mặc ngoài che bụi	(dtừ) dust-cloak.
áo mền	(dtừ) wadded parka.
áo móc	(dtừ) crocheted garment.
áo mưa	() waterproof.
áo mưa	() raincoat.
áo mưa	() mackintosh.
áo mưa makintôt	(dtừ) mackintosh.
áo nẹp rộng tay	(dtừ) dolman.
áo ngoài	(dtừ) robe, pinafore, soutane, overgarment.
áo ngoài có mũ trùm đầu	(dtừ) anorak.
áo ngoài mặc chui đầu	(dtừ) jumper.
áo ngoài ngắn cũn cỡn	(dtừ) eton jacket.
áo ngô	(dtừ) corn husk.
áo ngủ	(dtừ) bathrobe, night clothes.
áo nhung	(dtừ) velvet coat.
áo nỉ	(dtừ) woolen clothes.
áo nịt	(dtừ) tricot.
áo nịt ngực	(dtừ) corset, girdle.
áo paca	(dtừ) parka.
áo phao	() xem áo cứu đắm.
áo phông	(dtừ) t-shirt.
áo quan	() xem quan tài.
áo quần	() xem quần áo.
áo quần bảo hộ lao động	(dtừ) coveralls.
áo quần phải mang vá	(dtừ) mending.
áo raglăng	(dtừ) raglan.
áo rét	(dtừ) winter garment (coat, jacket, etc).
áo rơđanhgôt	(dtừ) redingote.
áo rửa tội của trẻ em	(dtừ) chrisom.
áo săngđay	(dtừ) frock.
áo sắc	(dtừ) sack.
áo sô	(dtừ) mourning costume of coarse gauze.
áo sơ mi	() shirt.
áo sơ mi bỏ ra ngoài	(dtừ) overblouse.
áo sơ mi nữ	(dtừ) shift.
áo súng	(dtừ) rifle-carrying case.
áo tang	(dtừ) mourning clothes.
áo tang bằng nhiễu đen	(dtừ) crape.
áo tắm	() bathing suit.
áo tắm	() swimsuit.
áo tắm hai mảnh	(dtừ) bikini.
áo tế	(dtừ) ritual robe.
áo tế	(dtừ) sacrificial robes or court robes.
áo thầy tu	(dtừ) cassock.
áo thể thao	(dtừ) zephyr.
áo thể thao màu hoa cà	(dtừ) palatinate.
áo thụng	(dtừ) gown.
áo thụng	(dtừ) tunic.
áo thụng xẻ tà	(dtừ) dalmatic.
áo tôga	(dtừ) gown.
áo tơi	(dtừ) palm-leaf raincoat.
áo tơi	(dtừ) latania raincoat, poncho.
áo trấn thủ	(dtừ) padded waistcoat.
áo trong	(dtừ) underwear, undershirt.
áo trong	(dtừ) underdress.
áo tứ thân	(dtừ) four-panel traditional dress.
áo va rơi	(dtừ) pea-jacket, jumper.
áo va rơi ngắn	(dtừ) pilot-jacket.
áo váy	(dtừ) dress.
áo vải dầu	(dtừ) oil-coat, oiler.
áo vải tóc	(dtừ) hair shirt, cilice.
áo vận động viên	(dtừ) zephyr.
áo vét	(dtừ) jacket.
áo vét đàn bà	(dtừ) surcoat.
áo vét gài chéo	(dtừ) reefer.
áo vét len ngắn	(dtừ) spencer.
áo vét rộng	(dtừ) sports-jacket.
áo vét tông	(dtừ) jacket.
áo vệ sinh	(dtừ) cotton sweater.
áo vệ sinh ngắn tay	(dtừ) sweat shirt.
áo xẻ tà	(dtừ) polonaise.
áo xềnh xoàng mặc ở nhà	(dtừ) nôgligô.
áo xềnh xoàng mặc trong nhà	(dtừ) dishabille.
áo xiêm	(dtừ) clothes.
áo xiêm	(dtừ) clothing.
áo ximôckinh	(dtừ) tuxedo.
áo xmốckinh	(dtừ) dinner-jacket.
áo xống	(dtừ) untidy clothes.
áo xuềnh xoàng mặc ở nhà	(dtừ) housedress.
áo xutan	(dtừ) soutane.
áp	() to press against ....
áp	() to stand against ....
áp	() to put.
áp	() to affix.
áp	() next to ....
áp	() close to ....
áp-xe	(dtừ) abscess.
áp âm	() dominant (musical).
áp bách	() to force, to compel.
áp bức	() to oppress.
áp bức	() oppression.
áp bức người nghèo	(thngữ) to grind the faces of the poor.
áp cao	() high pressure.
áp chảo	() sauté.
áp chế	() to tyrannize.
áp chế	() to persecute.
áp chế	() to oppress.
áp chế	() to repress.
áp chót	() penultimate.
áp chót	() next to last.
áp dảo	(ttừ) overpowering.
áp dụng	() to apply.
áp dụng	() to put into practice.
áp dụng được	(dtừ) applicability.
áp dụng được	(ttừ) applicable.
áp dụng những biện pháp	(thngữ) to assume measures.
áp dụng rộng rãi	(ttừ) far-reaching.
áp dụng sai	(dtừ) misapplication.
áp dụng sai	(ngđtừ) misapply.
áp đảo	() to overwhelm.
áp đảo	() to overpower.
áp đảo	() to crush.
áp đảo hẳn	(ngđtừ) outmatch.
áp đặt	() to impose.
áp đặt vào	(dtừ) apposition.
áp điện	() piezoelectricity.
áp điện học	(dtừ) piezoelectricity.
áp điệu	() to march.
áp điệu	() to escort.
áp giải	() to escort.
áp hóa học	(dtừ) piezochemistry.
áp kế	() manometer.
áp kế	() pressure-gauge.
áp kế	() piezometer.
áp kế mắt	(đtừ) tonometer.
áp lực	() pressure.
áp lực cuối	() terminal pressure.
áp lực cuối	() final pressure.
áp lực dầu	() oil pressure.
áp lực đất	() soil pressure.
áp lực động mạch	() blood pressure.
áp lực hơi bơm	() inflation pressure.
áp lực hơi nổ	() explosion pressure.
áp lực hơi nước	() steam pressure.
áp lực không đổi	() constant pressure.
áp lực quá cao	(dtừ) overpressure.
áp lực ra phía ngoài	(dtừ) out-thrust.
áp lực thấp	() low pressure.
áp lực thẩm thấu	() osmotic pressure.
áp mạn	() alongside.
áp phe	(dtừ) palaver.
áp phích	() bill.
áp phích	() poster.
áp phích bầu cử	() election poster.
áp phích quảng cáo	(dtừ) playbill.
áp sát	() to get close to ....
áp suất	() pressure.
áp suất cho phép	() allowable pressure.
áp suất động	() dynamic pressure.
áp suất hơi nước	() steam pressure.
áp suất hơi nước	() vapour pressure.
áp suất khí quyển	() atmospheric pressure.
áp suất không đổi	() constant pressure.
áp suất không khí	() atmospheric pressure.
áp suất mao dẫn	() capillary pressure.
áp suất riêng	() specific pressure.
áp suất riêng phần	() partial pressure.
áp suất thuỷ động	() hydrodynamic pressure.
áp suất thuỷ lực	() hydraulic pressure.
áp suất thuỷ tĩnh	() hydrostatic pressure.
áp suất tĩnh	() static pressure.
áp suất toàn phần	() total pressure.
áp suất tới hạn	() critical pressure.
áp suất tuyệt đối	() absolute pressure.
áp tải	() to convoy.
áp tải	() to escort.
áp thấp	() low pressure.
áp tới	(đtừ) to dash forward.
áp út	() last but one.
áp út	() second (to) last.
áp vào	(dtừ) application, appliance.
áp vào	(gtừ) against.
áp vào	(ngđtừ) apply.
áp xe	() abscess.
áp xe lợi	(dtừ) gumboil.
át	() to drown.
át	() to outshine.
át	() to prevent.
át	() to hinder.
át	() (đánh bài) ace.
át âm	(dtừ) dominant.
át âm	(ttừ) dominant.
át bằng lý lẽ vững hơn	(ngđtừ) outshout.
át hẳn	(đtừ) dominate.
át hẳn	(ttừ) overwhelming.
át xì	() xem hắt hơi.
áy	(ttừ) withered (nói về cỏ).
áy náy	() uneasy.
áy náy	() anxious.
áy náy	() sorry.
à	(thán từ) oh (exclamation of surprise).
à này	() by the way.
à này	() incidentally.
à uôm	(đtừ) to lump together.
ào	(phó từ) impetuously, violently, fiercely.
ào	(đtừ) to rush.
ào ào	() thunderously, impetuously.
ào ạt	() impetuous, thunderous, stormy, violent, fierce.
ào vào	() pour in.
ả	() lass.
ả	() girl.
ả	() woman.
ả	() gal.
ả	() she.
ả đào	() songstress (in the times of french domination).
ả giang hồ	() xem gái giang hồ.
ả hằng	() moon goddess.
ả hằng	() moon.
ả phù dung	() opium as a temptress.
ả phù dung	() opium.
ả tố nga	() beautiful girl (compared to princess of the moon).
ả xẩm	() chinese girl.
ải	(dtừ) pass.
ải	(dtừ) hurdle.
ải	(dtừ) ordeal.
ải	(dtừ) trial.
ải	(ttừ) rotten.
ải	(ttừ) aerated and loose.
ải	(ttừ) crumbly.
ải quan	(dtừ) frontier (pass).
ải sát	() to strangle somebody to death.
ải tử	() to hang oneself.
ải tử	() to kill oneself by hanging.
ảm đạm	() gloomy.
ảm đạm	() dreary.
ảm đạm	() sombre.
ảm đạm	() cheerless.
ảm đạm	() mournful.
ảnh	() image.
ảnh	() photograph.
ảnh	() picture.
ảnh	() portrait.
ảnh	() photo.
ảnh	() xem anh_ấy.
ảnh ảo	() virtual image.
ảnh ẩn	(dtừ) photolithography.
ảnh ẩn	(dtừ) latent image.
ảnh bản kẽm	(dtừ) photo-engraving, photoprint, photogravure.
ảnh bitmap	() bitmap image.
ảnh căn cước	() passport photo.
ảnh cắt	(dtừ) scrap.
ảnh chiếu nổi	(dtừ) anaglyph.
ảnh chúa giáng sinh	(dtừ) nativity.
ảnh chụp hiển vi	(dtừ) photomicrograph.
ảnh chụp in ra	(dtừ) print.
ảnh chụp lén	() furtive photograph.
ảnh chụp nhanh	() snapshot.
ảnh chụp từ máy bay	(dtừ) aerophotograph, airphoto.
ảnh chụp xa	(dtừ) telephoto.
ảnh đàn bà ăn mặc lõa lồ	(dtừ) cheesecake, leg art.
ảnh đàn bà cởi truồng	(dtừ) cheesecake, leg art.
ảnh đồ	(dtừ) photo map.
ảnh động	() moving picture.
ảnh đức mẹ	(dtừ) virgin.
ảnh ghép	(dtừ) mosaic.
ảnh ghi âm	(dtừ) phonogram.
ảnh hình	(dtừ) an image.
ảnh hưởng	() hold.
ảnh hưởng	() influence.
ảnh hưởng	() effect.
ảnh hưởng	() impact.
ảnh hưởng	() authority.
ảnh hưởng	() to influence.
ảnh hưởng	() to affect.
ảnh hưởng	() to sway.
ảnh hưởng dễ tiêm nhiễm	(dtừ) contagion.
ảnh hưởng dội lại	(dtừ) reverberation.
ảnh hưởng đến	(ngđtừ) reach.
ảnh hưởng đến da	(ttừ) endermic.
ảnh hưởng đến giác quan	(ttừ) sensuous.
ảnh hưởng gián tiếp	(dtừ) side-wind.
ảnh hưởng kéo lùi lại	(dtừ) pull-back.
ảnh hưởng lan truyền	(dtừ) infection.
ảnh hưởng làm lan ra	(dtừ) leaven.
ảnh hưởng làm thay đổi	(dtừ) leaven.
ảnh hưởng lẫn nhau	(dtừ) interplay, interaction, intercommunion.
ảnh hưởng lẫn nhau	(đtừ) interact.
ảnh hưởng lẫn nhau	(nđtừ) interwork.
ảnh hưởng lẫn nhau	(ttừ) interactive, interactional.
ảnh hưởng lớn	(ttừ) dominant.
ảnh hưởng ngầm	(dtừ) undercurrent.
ảnh hưởng nguy hại	(dtừ) fatality.
ảnh hưởng sâu sắc	(dtừ) imprint.
ảnh hưởng tai hại	(dtừ) upas.
ảnh hưởng thối nát	(dtừ) canker.
ảnh hưởng thúc đẩy	(dtừ) uplift.
ảnh hưởng tinh thần	(dtừ) spirit.
ảnh hưởng trở lại	(nđtừ) react, redound.
ảnh hưởng trở lại	(ttừ) reactive.
ảnh hưởng xấu	(dtừ) blight, contagion.
ảnh in	(dtừ) print.
ảnh in litô	(dtừ) photolithograph.
ảnh in suốt trang báo	(dtừ) spread.
ảnh in thử	(dtừ) pilot-print.
ảnh in trên sắt	(dtừ) ferrotype.
ảnh khoả thân	() cheese-cake.
ảnh khoả thân	() leg art.
ảnh lưu niệm	() commemorative photograph.
ảnh lưu niệm	() souvenir photograph.
ảnh màu	() colour photo.
ảnh màu tự nhiên	(dtừ) heliochrome.
ảnh nhỏ đằng sau có phết hồ	(dtừ) sticky-back.
ảnh nổi	() echo-image.
ảnh phóng	(dtừ) enlargement of a photograph.
ảnh phóng to	(dtừ) enlargement, blow-up.
ảnh phóng xạ tự chụp	(dtừ) autoradiogram.
ảnh phổ	(dtừ) spectrogram.
ảnh tần	(dtừ) image frequency.
ảnh thờ	(dtừ) the dead's portrait.
ảnh thực	(dtừ) real image.
ảnh tia x	(dtừ) roentgenogram, radiogram, sciagram.
ảnh tia x	(ttừ) sciagrammatic.
ảnh trắng đen	() black-and-white photo.
ảnh tượng	(dtừ) (mental) image, impression.
ảnh vẽ bóng	(dtừ) sciagraph.
ảo	() imaginary.
ảo	() virtual.
ảo ảnh	(dtừ) delusion.
ảo ảnh	(dtừ) illusion.
ảo ảnh	(dtừ) phantasm.
ảo ảnh	(dtừ) phantom.
ảo cảnh	(dtừ) vision, phantasmagoria.
ảo cảnh	(ttừ) phantasmagoric.
ảo cực	() feel nauseated.
ảo cực	() have qualms.
ảo đăng	(dtừ) magic lantern.
ảo giác	() delusion.
ảo giác	() hallucination.
ảo giác ánh sáng	(dtừ) photism.
ảo hoặc	() deceitful, delusive.
ảo hóa	() changeable, fickle, variable.
ảo huyền	() mysterious, miraculous.
ảo lượng	(dtừ) imaginary quantity.
ảo mộng	(dtừ) fantastic dream, day-dream, fancy, castle in the air.
ảo não	(ttừ) doleful, pathetic, plaintive.
ảo não	(ttừ) melancholic, sad, sorrowful.
ảo nhân	(dtừ) magician, sorcerer.
ảo nhật	(dtừ) parhelion.
ảo tần	(dtừ) image frequence.
ảo tầu	() image frequence.
ảo thanh	(dtừ) hallucination of hearing.
ảo thính	() như ảo thanh.
ảo thị	(dtừ) optical illusion.
ảo thuật	(dtừ) prestidigitation.
ảo thuật	(dtừ) legerdemain.
ảo thuật	(dtừ) jugglery.
ảo tưởng	() illusion.
ảo tưởng	() imagination.
ảo tượng	(dtừ) mirage, optical illusion.
ảo vọng	(dtừ) fantastic hope, fantastic wish, hallucination.
ảo vọng	(dtừ) illusion.
ảrập	(ttừ) arabesque.
ạ	() từ đệm particle used at the end of a sentence as an indication of politeness or respect.
ạch	(dtừ) flump.
ạch	(dtừ) flop.
ạo ực	(dtừ) hallucination.
ạo ực	(dtừ) have qualms.
ăm ắp	() overbrimmed with ....
ăm ắp	() brimful of ....
ăm bám	(dtừ) sponging.
ăm bẫm	(đtừ) to gain much, make a big profit.
ăm pun	() xem ống thuốc tiêm.
ăn	() to eat.
ăn	() to take.
ăn	() to have.
ăn	() to feed.
ăn	() to celebrate.
ăn	() to attend a feast on the occasion of.
ăn	() to live.
ăn	() to take.
ăn	() to receive.
ăn	() to earn.
ăn	() to win.
ăn	() to bite.
ăn	() to stick.
ăn	() to suit.
ăn	() to eat away.
ăn	() to corrode.
ăn	() to gnaw.
ăn	() to spread.
ăn	() to burn.
ăn	() to consume.
ăn	() to be part of.
ăn	() to be an appendage to.
ăn	() to belong to.
ăn	(đùa cợt) xem ăn hối lộ.
ăn ảnh	() to be photogenic.
ăn ảnh	() to photograph well.
ăn ảnh	() to take a good photograph.
ăn bám	() to lead a parasitic life.
ăn bám	() to go on the bum.
ăn bám	() to sponge on somebody.
ăn bám	() to be dependent on somebody.
ăn bám	() to live off somebody's back.
ăn báo cô	() to lead a parasitic life.
ăn báo cô	() to be a dependant.
ăn bạt tai	() to get one's ears boxed.
ăn bạt tai	() to get a thick ear.
ăn bạt tai	() to get a slap (in the face).
ăn bẩn	() to eat dirt.
ăn bẩn	() (nghĩa bóng) to make profit in an improper way.
ăn bận	() xem ăn mặc.
ăn bận xuềnh xoàng	(ttừ) undressed.
ăn bóc	(ttừ) predatory.
ăn bốc	() to eat with one's fingers.
ăn bớt	(đtừ) to take stealthy rake off, to get pickings, to appropriate part of profits.
ăn bữa chính trong ngày	(nđtừ) dine.
ăn cao lâu	() to eat at the restaurant.
ăn cao lương mỹ vị	(thngữ) to live like fighting-cock.
ăn cá	() fish-eating.
ăn cá	() piscivorous.
ăn cánh	() xem câu kết.
ăn cánh với	(thngữ) to be hand in (and) glove with.
ăn cánh với nhau	(nđtừ) hitch.
ăn cánh với nhau	(thngữ) to get along.
ăn cắp	() to steal.
ăn cắp	() to filch.
ăn cắp	() to pilfer.
ăn cắp	() to rob.
ăn cắp hàng hóa trên tàu	(dtừ) plunderage.
ăn cắp quen tay	() an cap quen tay ngu ngay quen mat,once a thief always a thief.
ăn cắp quen tay	() once a liar always a liar.
ăn cắp trong cửa hàng/siêu thị	() to shoplift.
ăn cắp văn	(dtừ) crib, plagiarism.
ăn cắp văn	(đtừ) plagiarise.
ăn cắp vặt	(ngđtừ) pilfer.
ăn cắp vặt	(nđtừ) snitch.
ăn cắp ý	(đtừ) plagiarise.
ăn chay	() to fast.
ăn chay	() to eat/take a vegetarian meal.
ăn chay	() to eat vegetarian food.
ăn chay	() xem ăn chay trường.
ăn chay niệm phật	() to obey the buddhist rules.
ăn chay trường	() to keep/follow a permanent vegetarian diet.
ăn cháo đá bát	() to bite the hand that feeds one.
ăn cháo đá bát	() eaten bread is soon forgotten.
ăn cháo đái bát	(thngữ) eaten bread is soon forgotten.
ăn chạc	(đtừ) free-load.
ăn chắc	(đtừ) to be on sure.
ăn chắc mặc bền	() comfort is better than pride.
