pa-tê	(dtừ) terrine.
phân biệt đúng sai	() to differentiate between right and wrong/between good and evil.
phân biệt đúng sai	() to discriminate between right and wrong/right from wrong.
phân biệt được	(đtừ) know.
phân biệt được vàng thau	(thngữ) separate the wheat from the chaff.
phân biệt giai cấp	() class distinction.
phân biệt giàu nghèo	() to differentiate between the rich and the poor.
phân biệt giới tính	() sex discrimination.
phân biệt giới tính	() sexism.
phân biệt giữa	(thngữ) to make a difference between.
phân biệt người tốt với người xấu	(thngữ) separate the sheep from the goats.
phân biệt phải quấy	() to differentiate between right and wrong.
phân biệt phải quấy	() to differentiate between good and evil.
phân biệt ra	(thngữ) to pick out.
phân biệt sang hèn	() to differentiate between people of high position and people of low position.
phân biệt tế nhị	(dtừ) finesse, subtlety.
phân biệt thực hư	() to differentiate between reality and myth.
phân biệt thực hư	() to separate reality from myth.
phân biệt thực hư	() to distinguish truth from falsehood.
phân biệt tinh vi	(dtừ) refinement.
phân biệt về chuyên môn	(dtừ) technicality.
phân bì	() to compare enviously.
phân bón	() manure.
phân bón	() fertilizer.
phân bò	() cow pat (for fuel).
phân bố	() distribute (to, among, allot to), distribution, distributive.
phân bố	() dispose, arrange, place, put, set.
phân bố các dây thần kinh	(ngđtừ) innervate.
phân bố dây thần kinh	(dtừ) innervation.
phân bố học	(dtừ) chorology.
phân bổ	() to apportion.
phân bổ	() to assign.
phân bổ	() to allocate.
phân bổ chính	(dtừ) label.
phân bộ	() (sinh học) sub-order.
phân bua	() cũng nói phân vua.
phân bua	() explain away the circumstances, elucidate, clear up.
phân bùn	() sludge.
phân canh	() be a tenant farmer.
phân cách	() to separate.
phân cách ra	(dtừ) disjunction, disconnection.
phân cách ra	(ngđtừ) disconnect, disjoin.
phân cành vừa	(ttừ) subramose.
phân cắt	() (sinh học) segment.
phân câu	(ngđtừ) phrase.
phân cấp	(đtừ) to devolve, to various levels.
phân cấp	(đtừ) draw up in echelon, arrange according to gradation.
phân cấp quản lý	() decentralized administration (each level having its proper responsibility).
phân chặng	() echelonment.
phân chất	(dtừ) analyse.
phân chi	() subdivision.
phân chi	() (sinh học) subgenus.
phân chi	() branching, ramification.
phân chi	() distribute.
phân chia	(dtừ) separate, detach, divide up, partition.
phân chia công việc	() distribute work.
phân chia địa tầng	() stratigraphic division.
phân chia đôi	(dtừ) half.
phân chia hạt nhân	() nuclear fission.
phân chia khu vực	() divide into regions.
phân chia lại	(ngđtừ) repartition.
phân chia nhiệm vụ	() mission assignment.
phân chia tầng số	() frequency division.
phân chia thành	() divided into.
phân chia vùng	() divide into regions/areas.
phân chim	() guano.
phân chó	(dtừ) mess.
phân chuồng	() muck.
phân chương trình	() subprogramme (of computers).
phân compôt	(dtừ) compost.
phân công	() to share the work.
phân công	() to allocate jobs.
phân công	() to assign tasks.
phân công công tác	() to allocate jobs.
phân công công tác	() to assign tasks.
phân công đóng vai không thích hợp	(ngđtừ) miscast.
phân công không thích hợp	(ngđtừ) miscast.
phân công phân nhiệm	() division of work and responsibilities.
phân cục	() sub-department, section.
phân cục	() branch (office).
phân cứt	(dtừ) stool.
phân cực	() polarize.
phân cực cố định	() fixed bias.
phân cực kế	() (vật lý) polarimeter.
phân cực kính	() polarizer.
phân cực nghiệm	() polariscope.
phân cực triệt tiêu	() zero bias.
phân dạng	(dtừ) subform.
phân dị	() địa lý differentiation, differentia.
phân đạm	() (nông nghiệp) nitrogenous fertilizer.
phân để rải lên mặt ruộng	(đtừ) top-dressing.
phân điếm	(dtừ) subagency.
phân điểm	() (thiên văn) equinox, equinoctial point.
phân định	() delimit, fix, ascertain.
phân định bằng chiến tranh	(dtừ) sword.
phân định nhiệm vụ	() assignment of mission.
phân định ranh giới	(dtừ) delimitation.
phân định thành phần giai cấp	() decide people's social classes.
phân đoàn	() subgroup, subdivision.
phân đoạn	() segment.
phân đóng vai	(đtừ) cast.
phân đôi	(dtừ) dichotomy, bipartition.
phân đôi	(đtừ) dichotomize.
phân đôi	(ttừ) dimidiate, dichotomic, dichotomous.
phân đốt	() (sinh học) segmented.
phân đốt	() segmental.
phân đội	() section (army unit).
phân đội	() detachment.
phân đội biệt phái	(dtừ) draught.
phân đội kỵ binh	(dtừ) troop.
phân đội tăng cường	(dtừ) draught.
phân giác	() bisector, bisectrix.
phân giải	(đtừ) to conciliate, to mediate (oh), to analyse.
phân giải	(đtừ) explain, solve.
phân giải protein	(dtừ) proteolysis.
phân giống	(dtừ) subgenus.
phân giới	() delimit, demarcate, damarcation, delimit.
phân hạch	() (vật lý) nuclear fission.
phân hạng	() classify.
phân hạt nhân	(dtừ) fission.
phân hạt nhân	(ttừ) fissionable.
phân hệ	() subsystem.
phân hiệu	() school branch, university branch, subsidiary, branch of the institute.
phân hình	(dtừ) scanning.
phân hình	(ttừ) scanning.
phân hóa	() to split.
phân hóa	() gap.
phân hóa	() divided.
phân hóa học	() artificial fertilizer.
phân hóa học	() chemical fertilizer.
phân họ	() (sinh học) subfamily.
phân học	() (y học) coprology.
phân hội	() association branch.
phân hội	() branch of the organisation.
phân huyết	() copremia.
phân huỷ	() to break up.
phân huỷ	() to disintegrate.
phân huỷ	(dtừ) decomposition, disintegration.
phân huỷ	(ngđtừ) dissolve, decompose, disintegrate.
phân huỷ	(nđtừ) decompose, disintegrate.
phân huỷ	(thngữ) eat into sth.
phân huỷ	(ttừ) decomposable, dissolvable.
phân hữu cơ	() (nông nghiệp) organic fertilizer.
phân ka li	() potassium fertilizer.
phân khoa	() sub-department, section (of a university).
phân khoa	() sphere/department/field of knowledge.
phân khoa	() faculty, department.
phân khoáng	() mineral fertilizer.
phân khối	() cubic centimetres.
phân khối	() subdivision.
phân khu	() district.
phân khu	() subdivision, subregion.
phân khu bầu ở tòa án tối cao	(thngữ) king's.
phân khu của một bang	(dtừ) county.
phân khúc	() part (of song).
phân kỳ	((từ cũ, văn chương) to part) to separate.
phân kỳ	((từ cũ, văn chương) to part) (vật lý) to diverge.
phân kỳ lịch sử	() division of history into periods.
phân lại vai	(dtừ) recast.
phân lại vai	(ngđtừ) recast.
phân lân	() (nông nghiệp) phosphate.
phân lập	() to subdivide.
phân liệt	() to split.
phân liệt	() to dismember.
phân loài	() (sinh học) subspecies.
phân loại	() to classify.
phân loại	() classification.
phân loại đất	() soil classification.
phân loại học	() taxonomy.
phân loại học	() systematics.
phân loại lại	(ngđtừ) re-sort.
phân loại máu	() blood grouping.
phân loại nhân viên	() personnel classification.
phân loại phẩm chất	() quality classification.
phân loại từ	() classification of words.
phân lô	() to divide into plots.
phân lớp	() (sinh học) subclass, bedding.
phân lớp chéo	() diagonal bedding.
phân lớp xiên	() oblique bedding.
phân lũ	() diverge (deflect) freshets.
phân lượng	() quantity, dose, quantitative analysis.
phân lượng tử	() quantizing.
phân lưu	() (of river) branch, arm, distributary.
phân ly	(dtừ) separate, divide, part (with), leave, separation, dissociation.
phân miền	(dtừ) subregion.
phân minh	() definite, clear-cut, clear, concise.
phân mục	() subdivision, compost.
phân ngành	() (sinh học) subphylum.
phân nghĩa	(dtừ) division.
phân ngón	(dtừ) digitation.
phân ngón	(ttừ) digitate.
phân người	() human excrement.
phân ngựa	() horse - dung.
phân nha	() suboffice, branch office, sub - directorate.
phân nhánh	() to branch off.
phân nhánh	() to ramify.
phân nhánh như cành cây	(dtừ) arborization.
phân nhiệm	() to assign responsibilities.
phân nhóm	() (sinh học) subgroup.
phân nhỏ	(dtừ) breakdown.
phân nhỏ	(thngữ) to break down.
phân nửa	() half.
phân phát	() to dispense.
phân phát	() to distribute.
phân phát	() to share.
phân phát cái gì lãng phí	(thngữ) to ladle sth out.
phân phối	() to allot.
phân phối	() to allocate.
phân phối	() to distribute.
phân phối	() allocation.
phân phối	() distribution.
phân phối các vai	(dtừ) cast.
phân phối đều	(thngữ) to even sth out.
phân phối hoả lực	() fire distribution.
phân phối lại	(ngđtừ) repartition, redistribute.
phân phối nhân viên	() allotment of personnel.
phân quyền	() decentralization.
phân quyền phi tập trung hóa	(ngđtừ) decentralise.
phân ra	(dtừ) dissociation, breakdown, sunderance, cleavage.
phân ra	(đtừ) dispart.
phân ra	(ngđtừ) sunder, dissociate.
phân ra	(ttừ) cleavable, dissociated, dissociable, separable, dividual, dissociative.
phân ra bởi lăng kính	(ttừ) prismatic.
phân ra thành nhiều chi nhánh	(nđtừ) ramify.
phân ra từng món	(thngữ) to break down.
phân ranh	() demarcation.
phân ranh giới	(dtừ) demarcation.
phân ranh giới	(ngđtừ) demarcate.
phân ranh giới	(ttừ) demarcating.
phân rác	() (nông nghiệp) compost.
phân rác	() fertilizer from waste matter.
phân rái cá	(dtừ) spraints.
phân rã	() (vật lý) disintegration, disaggregation.
phân sản	() divide property (among).
phân sinh	() (sinh) schizogenous.
phân số	(dtừ) (math) fraction.
phân số đơn giản	(thngữ) vulgar fraction.
phân số tuần hoàn	(dtừ) repeater.
phân suất	() percentage.
phân suất	() amount percent, rate (of interest).
phân súc vật	() animal fertilizer.
phân tách	() xem phân tích.
phân tán	() disperse, scauer.
phân tán	() divert/distract oneself.
phân tán các đơn vị	() dispersion of units.
phân tán lực lượng	() scatter the forces.
phân tán mỏng	() disperse widely.
phân tán tư tưởng	(ttừ) abstracted.
phân tâm	() (làm cho ai phân tâm) to distract somebody's attention.
phân tâm	() to divert somebody.
phân tâm học	() depth-psychology.
phân tâm học	() psychoanalysis.
phân tâm học	() psychoanalytic.
phân tầng	(dtừ) stratification.
phân tầng	(ngđtừ) stratify.
phân thế	(dtừ) potentiometer.
phân thú	(dtừ) droppings.
phân thú vật	(dtừ) dung.
phân thùy	(ttừ) lobate.
phân thủy	() (đường phân thủy) watershed.
phân thứ	(dtừ) subvariety.
phân tiết	() articulation.
phân tích	() to analyse.
phân tích	() analysis.
phân tích	() analytic.
phân tích	() analytical.
phân tích câu	() (ngữ pháp) clause/sentence analysis.
phân tích chi phí	() (kinh tế học) cost analysis.
phân tích chi phí-lợi nhuận	() cost-benefit analysis.
phân tích doanh số	() sales analysis.
phân tích độ nhạy	() sensitivity analysis.
phân tích giá trị	() value analysis.
phân tích hệ thống	() (tin học) systems analysis.
phân tích kỹ	(ngđtừ) dissect.
phân tích ngữ pháp	(dtừ) parsing.
phân tích ngữ pháp	(ngđtừ) parse.
phân tích rủi ro	() (kinh tế học) risk analysis.
phân tích tâm lý	(dtừ) psycho-analisis.
phân tích tâm lý	(ngđtừ) psycho-analyse.
phân tích tâm lý	(ttừ) psycho-analytic.
phân tích thị trường	() market analysis.
phân tích thống kê	() statistical analysis.
phân tích tính chất của	(đtừ) sift.
phân tích tình huống	() scenario analysis.
phân tích tình huống	() situation analysis.
phân tích từ loại	((ngữ pháp) grammatical analysis) parsing.
phân tích về mặt tâm lý	(ngđtừ) psychologise.
phân tính	(ttừ) dioecious.
phân toán	() detachment.
phân toả	() decentralize.
phân tỏ	() bring to light, explain, set forth.
phân tông	(dtừ) subtribe.
phân tổ	() divide into small groups/cells.
phân tranh	() be in conflict, clash, quarrel.
phân trần	() clarigy apologetically, explain apologetically (some matter), explain (one's intentions to), elucidate.
phân trộn	(dtừ) compost.
phân tuyến	() delineation of area.
phân tươi	() (nông nghiệp) fresh night-soil.
phân từ	(ttừ) antimagnetic.
phân tử	(dtừ) molecule.
phân tử	(dtừ) (math) numerator, molecule.
phân tử gam	() mole.
phân tử kép	(dtừ) supermolecule.
phân tử lượng	() (hóa học) molecular weight.
phân tử nước	() (chemistry) heavy water.
phân ủ	() (nông nghiệp) compost.
phân ưu	() xem chia buồn.
phân vai	() to cast somebody for a part.
phân vân	() xem lưỡng lự.
phân vi	() locate.
phân viện	() sub - institute.
phân vỉa không chỉnh hợp	(dtừ) unconformity.
phân vị	() division, unit.
phân vị	() (thống kê) percentile.
phân vị địa tầng	() stratigraphic unit.
phân vô cơ	() (nông nghiệp) mineral fertilizer, inorganic fertilizier.
phân vua	() như phân bua.
phân vùng	() mark off into economic zones.
phân vùng	() zone.
phân vùng	() district (region).
phân xanh	() vegetable manure.
phân xanh	() green manure.
phân xác cá	(dtừ) guano.
phân xã	() bureau (of a news agency).
phân xu	() meconium (cứt xu, cứt của trẻ mới ra đời).
phân xưởng	() workshop.
phân xưởng	() shop.
phân xưởng gia công	() prefabrication plant.
phân xưởng lắp ráp	(dtừ) assembly shop.
phân xưởng rèn	(dtừ) smithy.
phân xử	() to judge.
phân xử	() to arbitrate.
phây phây	() (nói về đàn bà) buxom.
phây phây	() phlegmatically.
phấn	() powder.
phấn	() chalk.
phấn bột	() powder.
phấn bột gạo	(dtừ) splash.
phấn chấn	() to feel cheerful, to be in high spirits.
phấn chấn	() be animated, be inspired, be filled with enthusiasm, be more cheerful.
phấn chí	() enthusiastic and determined.
phấn chùi dao	(dtừ) knife-polish.
phấn côn	(dtừ) kohl.
phấn đấu	(dtừ) strive (with, against, for), contard, struggle, contend (with, against, for).
phấn hoa	() pollen.
phấn hoa	() anther-dust.
phấn hoạt thạch	() talcum powder.
phấn hồng	() blusher.
phấn hương	() powder and perfume, female charm.
phấn khích	() give an incentive (to), stimulate the interest (of).
phấn khởi	(ttừ) excited, encouraged.
phấn khởi	(ttừ) be/feel inspired, be heartened.
phấn khởi lại	(ngđtừ) reanimate.
phấn khởi lại	(nđtừ) perk, revive.
phấn khởi lên	(ngđtừ) brisk.
phấn khởi lên	(nđtừ) liven.
phấn khởi lên	(thngữ) to juice up.
phấn may đồ	() tailor's chalk.
phấn mỡ	(dtừ) grease-paint.
phấn nộ	(đtừ) to lose one's temper.
phấn ong	(dtừ) ambrosia.
phấn rôm	(dtừ) talcum powder.
phấn sáp	() cũng như phấn son.
phấn sáp	() cosmetics, beauty preparations.
phấn sáp	() (thông tục) make oneself up, make up, powder and rouge, cosmetics.
phấn sáp	() wear make-up.
phấn son	() face powder and lipstick.
phấn son	() (nói chung) make-up.
phấn thoa mặt	() face powder.
phấn thợ may	() tailor's chalk.
phấn trắng	(ttừ) cretaceous.
phấn trần	() feather duster.
phấn vẽ màu	(dtừ) crayon.
phấn xoa sau khi rửa ráy	(đtừ) toilet-powder.
phấn xoa tóc	(dtừ) hair-powder.
phấp phỏng	() be on tenterhooks, be in anxious suspense.
phấp phới	() flutter, wave.
phấp phới bay	(nđtừ) wave.
phấp phới trên không	(nđtừ) bob.
phất	() to wave.
phất	() to become rich.
phất	() xem phát đạt.
phất cao ngọn cờ	() to raise the flag high.
phất phỏng	() worry (about), be anxious/uneasy (about).
phất phơ	(dtừ) flutter, fly.
phất phơ	(dtừ) float, wave, waring, agitated, idle.
phất phơ	(dtừ) lazy.
phất phới	() như phấp phới.
phất trần	() feather duster, feather brush.
phất trong	(dtừ) boom.
phầm phập	() strike with force.
phần	() part.
phần	() portion.
phần	() share.
phần-lan	(ttừ) finnish.
phần ai nấy trả	() to go dutch.
phần ăn	(dtừ) allowance.
phần bên cạnh	(dtừ) side.
phần biếu	() gift.
phần bị chắn	(dtừ) intercept.
phần boong ở mũi tàu	(dtừ) forecastle.
phần bỏ đi	(dtừ) fag-end.
phần bỏ hoang	(dtừ) wilderness.
phần bồi thêm	(dtừ) accretion.
phần bổ sung	(dtừ) complement, supplement.
phần bù	(dtừ) complement.
phần bức sóng	() radiator.
phần bức xạ	() radiator.
phần cảm điện	() inductor.
phần cảm ứng	() anti-induction.
phần cắt bỏ	(dtừ) offal.
phần cắt bớt	(dtừ) cut-back.
phần cắt ra	(dtừ) section.
phần cấp thêm	(dtừ) extraordinaries.
phần cất	(dtừ) distillate.
phần chân tường	(dtừ) dado.
phần chất thêm	(dtừ) surcharge.
phần che bọng	(dtừ) gorget.
phần chêm	(dtừ) apposition.
phần chia	(dtừ) snack, portion, slice.
phần chia công bằng	(thngữ) fair do/dos/do's.
phần chia hậu hĩ	(thngữ) benjamin's mess.
phần chia nhỏ ra	(dtừ) subdivision.
phần chính	(dtừ) marrow, gravamen, main, head, pith.
phần chỉ lại	(dtừ) repeat.
phần chọn lọc	(dtừ) pick.
phần chủ yếu	(dtừ) main, meat, vitals.
phần chữ	(dtừ) letterpress.
phần có gai	(dtừ) spinosity.
phần có giá trị	(dtừ) gut.
phần còn lại	() rest.
phần còn lại	() remainder.
phần còn thừa	(dtừ) remanet.
phần cố định	() fixed part.
phần cốt tủy	(dtừ) marrow, pith.
phần cốt yếu	(dtừ) main.
phần cung cấp mỗi lần	(dtừ) instalment.
phần cuối	(dtừ) finish, conclusion.
phần cuối cùng	(dtừ) arrear.
phần cuộn	(dtừ) involution.
phần của kẻ mạnh	(thngữ) lion's share.
phần cứng	() (tin học) hardware.
phần dài ra	(dtừ) elongation.
phần dây chùng	(dtừ) slack.
phần di động của cầu cất	(dtừ) draw.
phần do rút thăm định	(dtừ) lot.
phần dư	(dtừ) remanet.
phần dưới	(dtừ) underneath, underpart.
phần dưới cùng	(dtừ) bottom.
phần dưới mặt trái	(dtừ) exergure.
phần dưới ống khói	(dtừ) funnel.
phần đáy đuôi tàu	(dtừ) run.
phần đáy tàu ở phía trước	(dtừ) forefoot.
phần đăng mỗi lần	(dtừ) instalment.
phần đất	() territory.
phần đất bồi ở biển	(dtừ) foreshore.
phần đất giữa hai nước triều	(dtừ) shore.
phần đất tách ra	(dtừ) exclave.
phần đầu	() beginning.
phần đầu	() opening.
phần đầu	() first part.
phần đầu cạo trọc	(đtừ) tonsure.
phần đầu ngực	(dtừ) cephalothorax.
phần đè lên nhau	(dtừ) overlap.
phần đệm bắt buộc	(dtừ) obbligato.
phần đệm ứng tác	(dtừ) vamp.
phần đóng góp	(dtừ) contribution, shot, share.
phần đông	() xem hầu hết.
phần đồng ca cho động tác múa	(dtừ) strophe.
phần đồng ca cho động tác múa	(ttừ) strophic.
phần đuôi của cỗ pháo	(dtừ) spade.
phần đuôi tàu	(dtừ) poop.
phần đuôi từ	(dtừ) termination.
phần đưa mời	(dtừ) help.
phần được cấp	(dtừ) allocation.
phần được chia	(dtừ) allocation, allotment.
phần được hưởng	(dtừ) meed.
phần được phân phối	(dtừ) allotment, allocation.
phần gánh vác	(dtừ) contribution.
phần giáp che ống chân	(dtừ) greaves.
phần giữa	(dtừ) inside, episode.
phần gối lên nhau	(dtừ) overlap.
phần hay nhất	(dtừ) cream.
phần hồn	() spiritual.
phần hơn	(dtừ) whip hand.
phần hợp thành	(dtừ) ingredient.
phần in đầu giấy viết thư	(dtừ) letterhead.
phần kéo dài	(dtừ) extension.
phần kết	(dtừ) epilogue.
phần kết luận	(dtừ) conclusion, termination.
phần kết thúc	(dtừ) termination, finish, finale.
phần khoảng một nửa	(dtừ) half.
phần không nhờn	(dtừ) slum.
phần lẻ	() decimal (fraction).
phần lòi ra	(dtừ) jut.
phần lọc	(dtừ) filtrate.
phần lồi	() salient.
phần lớn	() xem hầu hết.
phần lớn hơn	(dtừ) bulk.
phần lớn nhất	(thngữ) lion's share.
phần lý luận	(dtừ) theoretics.
phần mềm	() (tin học) software.
phần mềm chế bản điện tử	() desktop publishing software.
phần mềm chống vi rút	() antivirus software.
phần mềm chuyên dụng	() dedicated/specialized software.
phần mềm cổ đông	() shareware.
phần mềm cơ sở dữ liệu	() database software.
phần mềm dạy học	() courseware.
phần mềm dạy học	() educational software.
phần mềm do khách hàng đặt làm	() custom software.
phần mềm đa năng	() multipurpose software.
phần mềm điều khiển từ xa	() remote control software.
phần mềm định dạng văn bản	() text-formatting software.
phần mềm đóng gói	() packaged software.
phần mềm đồ hoạ	() graphics software.
phần mềm giải nén	() decompression software.
phần mềm giải nén	() decompressor.
phần mềm hệ điều hành	() operating system software.
phần mềm hệ quản lý cơ sở dữ liệu	() database management system software.
phần mềm hệ quản lý cơ sở dữ liệu	() dbms software.
phần mềm hệ thống	() system software.
phần mềm kế toán	() accounts package.
phần mềm kế toán	() accounts software.
phần mềm khu vực công cộng	() public-domain software.
phần mềm máy tính	() computer software.
phần mềm mạng	() network software.
phần mềm miễn phí	() free software.
phần mềm miễn phí	() freeware.
phần mềm một người dùng	() single-user software package.
phần mềm nén dữ liệu	() data compression software.
phần mềm ngôn ngữ	() language software.
phần mềm nhận biết tiếng nói	() voice recognition software.
phần mềm nhận dạng ký tự	() character recognition software.
phần mềm nhận dạng ký tự	() optical character recognition software.
phần mềm nhận dạng ký tự	() ocr software.
phần mềm nhiều người dùng	() multi-user software.
phần mềm tích hợp	() integrated package.
phần mềm trò chơi	() game software.
phần mềm từ điển	() dictionary software.
phần mềm tự chế	() homegrown software.
phần mềm ứng dụng	() application software.
phần mềm xử lý văn bản	() word processing software.
phần mềm xử lý văn bản	() word processor.
phần mộ	() tomb.
phần mộ	() grave.
phần mộc	() woodwork.
phần mở rộng	(dtừ) expansion, extension, enlargement.
phần mở rộng thêm	(dtừ) continuation.
phần mu	(dtừ) instep.
phần nào	() to some extent.
phần nào	() to a certain degree.
phần nào	() somewhat.
phần nào mang tính chất	(đtừ) participate.
phần nghìn	(ttừ) millesimal.
phần ngọn	(đtừ) topping.
phần ngực	(dtừ) corselet.
phần nhà nhô ra	(dtừ) pavilion.
phần nhiều	() xem phần lớn.
phần nhỏ	(dtừ) mite, fraction.
phần nhỏ li ti	(dtừ) fleck.
phần nhô ra	(dtừ) jut, set-off, overhang.
phần nọ phần kia	(phó từ) half-and-half.
phần nọ phần kia	(ttừ) half-and-half.
phần nối	() extension.
phần nối thêm	(dtừ) extension.
phần nổi	(dtừ) free-board, topsides.
phần nợ	() credit side (in bookeeping).
phần nước lọc ra	(dtừ) filtrate.
phần ở tận trong cùng	(dtừ) innermost.
phần ở trên	(dtừ) superstructure, superstruction.
phần ở trong	(dtừ) inward.
phần phát triển dần lên	(dtừ) accretion.
phần phật	() flipflap, flapping noise, streaming.
phần phò	() save (food, etc) for someone.
phần phông đã đóng khung	(dtừ) flat.
phần phụ	() (sinh học) appendage.
phần phụ	() complement.
phần phụ chú	() addenda.
phần phụ lục	(dtừ) rider.
phần phụ thêm	(dtừ) supplement.
phần phụ thuộc	(dtừ) dependency, apanage, appendage.
phần quan trọng	(dtừ) corner-stone, meat.
phần quan trọng nhất	(thngữ) the half of it.
phần sau	() rear, latter, part.
phần sáu hình tròn	(dtừ) sextant.
phần sảy ra	(dtừ) siftings.
phần tách ngoài	(dtừ) outlier.
phần tàu	(dtừ) work.
phần tàu ngập dưới nước	(dtừ) vitals.
phần tàu trên mặt nước	(dtừ) floatage.
phần tham gia	(dtừ) lot, hand.
phần thành phố quay mặt ra biển	(dtừ) sea front.
phần thăng hoa	(dtừ) sublimate.
phần thắng	(dtừ) vantage.
phần thêm	(dtừ) addition.
phần thêm	(dtừ) appendage, enlargement, annex, affix, addendum, accession.
phần thì	(thngữ) what with...and what with....
phần thóc công xay	(đtừ) toll.
phần thò ra	(dtừ) jut.
phần thụt vào	(dtừ) return.
phần thưởng	() recompense.
phần thưởng	() award.
phần thưởng	() reward.
phần thưởng hạng ưu	(thngữ) class prize.
phần thưởng nhỏ	(dtừ) putty-medal.
phần thức ăn	(dtừ) portion.
phần thức ăn ở bữa ăn	(dtừ) helping.
phần thừa	(dtừ) overflow.
phần tiếp thêm	(dtừ) continuation.
phần tiền	(dtừ) allowance.
phần tiền chia	() divident.
phần tinh chất	(ttừ) quintessential.
phần tinh hoa	(dtừ) pick, juice.
phần tinh hoa	(ttừ) quintessential.
phần tinh túy	(dtừ) juice, nub, heart.
phần tinh túy	(ttừ) quintessential.
phần tĩnh	(dtừ) stator.
phần tóm tắt và kết luận	(dtừ) summation.
phần tốt nhất	(dtừ) cream, pick.
phần tràn ra	(dtừ) overflow.
phần trả mỗi lần	(dtừ) instalment.
phần trăm	() per cent.
phần trên	(dtừ) upside, topping.
phần triô	(dtừ) trio.
phần trích	(dtừ) excerpt.
phần tro	(dtừ) ash-content.
phần trong	(dtừ) inside.
phần trồi lên	(dtừ) outcrop.
phần trước	(dtừ) forepart, fore.
phần trước của tàu dưới boong	(dtừ) forecastle.
phần trừ bì	() reserve echelon.
phần tử	() element.
phần tử mang	(dtừ) carrier.
phần tử nhạy	(dtừ) sensor.
phần tử phát xít	(dtừ) fascist.
phần tử sô-vanh hiếu chiến	(dtừ) jingo.
phần tử ưu tú	(dtừ) choice.
phần tử ưu tú	(thngữ) the pick of the basket.
phần việc	() one's job, one's responsibility.
phần việc	() share of work, work, business.
phần việc cuối cùng	(dtừ) cope-stone.
phần việc làm	(dtừ) duty.
phần xây nề	(dtừ) masonry.
phần xếp	(dtừ) bellows.
phần xoắn ốc	(dtừ) involution.
phần xơ của mỡ cá voi	(dtừ) fenks.
phầng	() (phầng lên) rise with force.
phầng phầng	() rage.
phẩm	(dtừ) pigment.
phẩm	(dtừ) class.
phẩm	(dtừ) rank.
phẩm	(dtừ) order.
phẩm	(dtừ) virtue.
phẩm	(dtừ) quality.
phẩm bình	() comment (upon).
phẩm cách	() cũng như phẩm giá.
phẩm cách	() dignity, personal dignity, human dignity.
phẩm cấp	() (từ cũ) mandarins' ranks, class, rank, grade.
phẩm chất	(dtừ) quality, virtue.
phẩm chất bình quân	() average quality.
phẩm chất cao cấp	() superior quality.
phẩm chất cao quý	() noble charater.
phẩm chất chính trị	() political quality.
phẩm chất đạo đức	() virtuous character.
phẩm chất đặc sắc	(ttừ) distinguished.
phẩm chất loại xấu	() inferior quality.
phẩm chất sợi	(dtừ) staple.
phẩm chất tốt nhất	() best quality.
phẩm chất ưu tú	(dtừ) quality.
phẩm chức	(thngữ) order of lenin.
phẩm đề	((từ cũ) write down one's appreciation (of a poem...)) (arch) estimation, estimate, appraise, estimate.
phẩm giá	(dtừ) xem phẩm cách.
phẩm giá	(dtừ) dignity.
phẩm giá con người	(dtừ) izzat.
phẩm hàm	((từ cũ) mandarins' grades) rank.
phẩm hạnh	(dtừ) behaviour, conduct, dignity, morals.
phẩm hồng	() pink dyes.
phẩm kemet	(dtừ) kermes.
phẩm loại	() (từ cũ) grade, class, kind, type.
phẩm lục	(dtừ) zaffer.
phẩm màu	(dtừ) colouring.
phẩm mạo	() carriage, bearing.
phẩm nhuộm	() artificial colouring.
phẩm oản	() steamed glutinous rice (molded into a truncated cone and offered in buddhist temples).
phẩm phục	((từ cũ) mandarins' grade attire) mandarin's costume.
phẩm son	(dtừ) coch-in-eal.
phẩm tiết	() conduct and chastity.
phẩm tính	() quality.
phẩm trật	((từ cũ) mandarins' ranks) hierarchy.
phẩm tước	() mandarins' titles, dignity.
phẩm vật	(dtừ) article, product, articles, itims, things.
phẩm vị	() xem phẩm trật.
phẩm yên chi	(dtừ) grain, coch-in-eal.
phẩn	() faeces, excrements.
phẩy	() xem dấu phẩy.
phẩy	() toán học) prime.
phẩy	() to fan gently.
phẩy	() to brush off.
phẩy đi	(thngữ) to brush away.
phẩy khuẩn	() (sinh học) vibrio.
phẩy mạnh	(ngđtừ) flirt.
phẫn	() xem phấn.
phẫn	() be indignant (with), be filled (with), indignation (at something, at somebody), be exasperated (by something, by somebody).
phẫn	() lid, cover.
phẫn	() shade.
phẫn chí	() be bitterly disappointed, be angered by disappointment.
phẫn chí	() be filled with indignation.
phẫn chí	() be in a rage, blaze (with rage).
phẫn chí	() rage.
phẫn đèn	() lampshade, shade.
phẫn hận	() hatred.
phẫn khích	() be exasperated and indignant.
phẫn kích	() be angry (with somebody).
phẫn kích	() be cross (with somebody).
phẫn kích	() be angry (at/about something).
phẫn nộ	() be indignant.
phẫn nộ	() be angry (with).
phẫn nộ	() get irritated/annoyed.
phẫn nộ	() chafe.
phẫn nộ	() irritation.
phẫn nộ	() anger.
phẫn nộ	() ire.
phẫn nộ	() wrath.
phẫn uất	() foam with silent anger, boil over with silent indignation, choke with indignation.
phẫn uất	() be indignant at injustice.
phẫu	() cylindrical pot.
phẫu	() amphora.
phẫu diện	() profile.
phẫu thuật	() dissection.
phẫu thuật	() surgery.
phẫu thuật	() surgical.
