ha	() exclamation of joy.
hầm hập	() (nóng hầm hập) stiflingly hot.
hầm hập	() very hot with fever.
hầm hập	() burning with fever.
hầm hè	() như hằm hè.
hầm hố	() ditches, trenches.
hầm hơi	() unaired, air-tight, stifling.
hầm hừ	() như hằm hừ.
hầm khai thác	(dtừ) pit.
hầm khai thác muối	(dtừ) salt-pit.
hầm lạnh	(dtừ) ice-house.
hầm lò	() pit.
hầm mỏ	(dtừ) mine.
hầm mỏ thông gió	(dtừ) air-shaft.
hầm mộ	(dtừ) catacomb.
hầm ngầm	() tunnel.
hầm nhừ	(ttừ) stewed.
hầm nút	() dug-out.
hầm pháo	() artillery trench.
hầm pháo	() gun pit.
hầm phòng không	() air-raid shelter.
hầm phòng thủ	() bunker.
hầm phố	() undergound shelters, holes in the earth (nói khái quát).
hầm rượu	() wine-cellar.
hầm rượu	() cellar.
hầm tác chiến	() combat dug-out.
hầm tàu	() hold.
hầm than	(dtừ) coal-cellar.
hầm thoát	(dtừ) escape-shaft.
hầm tránh bom	() bomb shelter.
hầm tránh hơi độc	(dtừ) gas-shelter.
hầm trong nồi đất	(ngđtừ) jug.
hầm trú ẩn	(dtừ) shelter-pit.
hầm trú ẩn	(dtừ) dug-out.
hầm trú ẩn di động được	(dtừ) anderson shelter.
hầm tù	(dtừ) dungeon.
hầm võng	() hammock, booby trap.
hầm xây cuốn	(dtừ) casemate.
hầu	() monkey.
hầu	() marquis.
hầu	() fauces.
hầu	() xem hầu hạ.
hầu	() so as to....
hầu	() with a view to....
hầu	() in order to....
hầu âm	() faucal.
hầu âm	() guttural.
hầu âm	() laryngeal.
hầu bao	() wallet.
hầu bao	() purse.
hầu bàn	() to wait at table.
hầu bàn	() to serve at table.
hầu bàn phụ	(dtừ) bus boy, bus girl.
hầu bóng	() to get into a trance (and act as a medium).
hầu cận	() trusted servant.
hầu chuyện	() to keep somebody company.
hầu đồng	() to attend a séance.
hầu hạ	() to valet.
hầu hạ	() to fuss over somebody.
hầu hạ	() to wait on somebody hand and foot.
hầu hết	() almost all.
hầu hết	() nearly all.
hầu hết	() most.
hầu kiện	() (từ-nghĩa cũ) appear before the court (to face trial).
hầu như	() virtually.
hầu như	() almost.
hầu như	() nearly.
hầu như câm	(ttừ) semi-mute.
hầu như chắc chắn	(phó từ) doubtless.
hầu như không	(phó từ) hardly.
hầu như không cuống	(ttừ) subsessile.
hầu như là	(phó từ) quasi.
hầu như thẳng đứng	(ttừ) subvertical.
hầu non	() young concubine.
hầu phòng	() femme de chambre.
hầu phòng	() chambermaid.
hầu quốc	() vassal state.
hầu quốc	() satellite.
hầu sáng	() waiter (in a chinese restaurant).
hầu thiếp	() concubines and maids.
hầu toà	() to appear in court.
hầu toà	() to stand trial.
hầu toà	() to go on trial.
hầu tước	() marquis.
hầu tước	() marquess.
hầu tước phu nhân	() marchioness.
hẩm	(ttừ) nusty.
hẩm	(ttừ) smelling or tasting sour or stale.
hẩm hiu	() unlucky.
hẩm hiu	() unfortunate.
hẩu	(ttừ) kind.
hẩu	(ttừ) good.
hẩu	(ttừ) delicious.
hẩy	(đtừ) to push.
hẫng	() make a false step.
hẫng	() end abruptly.
hẫng chân	() slip.
hẫng hờ	() cool, indifferent.
hẫng hụt	() missing.
hậm hà hậm hực	() xem hậm hực (láy).
hậm họe	() look threatening, look truculent.
hậm hực	() boil over with suppressed anger, burst with suppressed anger.
hậm hực	() hậm hà hậm hực (láy, ý tăng).
hậm hực muốn	(nđtừ) spoil.
hận	(ttừ) hatred.
hận	(ttừ) raueour.
hận	(ttừ) resentment.
hận cừu	() (ít dùng) như hận thù.
hận thù	() ill/bad feeling.
hận thù	() hatred.
hận thù	() feud.
hập	() stifling.
hậu	() queen.
hậu	() after-.
hậu	() post-.
hậu bán	() (lịch sử) xem nửa sau.
hậu binh	() rearguard.
hậu bị	() reserve.
hậu bôi	() after meal liqueur cup.
hậu bối	() carbuncle on the spine.
hậu bổ	() (từ nghĩa cũ) mandarin-to-be.
hậu bộ bàn thờ	(dtừ) retable.
hậu cảnh	() (họa) background.
hậu cần	() army ordnance, logistics.
hậu chiến	() postwar.
hậu chúa	() heir to the throne.
hậu côn	() descendants, progeny.
hậu cổ điển	() post-classic.
hậu cung	() seraglio.
hậu cung	() harem.
hậu cứ	() (quân) the rear.
hậu cứ hành quân	() base of operations.
hậu cứ trung đoàn	() regimental base.
hậu cứu	() await trial.
hậu duệ	() offspring.
hậu duệ	() descendant.
hậu đài	() xem hậu trường.
hậu đãi	() to treat with consideration.
hậu đại	() xem hậu thế.
hậu đậu	() awkward, lubberly.
hậu đình	() a rear building.
hậu địch	() enemy('s) rear.
hậu đội	() rearguard.
hậu đường	() building at the back of a mansion.
hậu hiệu	() (tâm) after-effect.
hậu hỉ	(dtừ) copiousness.
hậu hĩ	() copious.
hậu hĩ	() lavish.
hậu hĩnh	() xem hậu hĩ.
hậu hoạn	() future trouble, future worry.
hậu họa	() disastrous aftermaths, disastrous consequences.
hậu học	() scholars of a younger generation.
hậu học	() i (in a humbles sense).
hậu kỳ	() later period.
hậu lai	() future, in the future.
hậu lập	() (of act, cleed) be established afterward.
hậu lê	() the later le dynasty.
hậu lộc	() big salary.
hậu lợi	() big profits.
hậu lý	() the later ly dynasty.
hậu mãi	() after-sales.
hậu mẫu	() stepmother.
hậu môn	() anus.
hậu môn	() arse-hole.
hậu môn giả	() (y học) colostomy.
hậu nghiệm	() (triết học) a posteriori.
hậu ngôn	() epilogue.
hậu nhiệm	() succeed.
hậu phẫu	() (y học) postoperative.
hậu phi	() (từ nghĩa cũ) wife of the king.
hậu phòng	() rear guard.
hậu phòng	() rear point.
hậu phụ	() stepfather.
hậu phương	() rear.
hậu quả	() consequence.
hậu quả phụ	(dtừ) by-product.
hậu quân	() rearguard.
hậu sản	() puerperal.
hậu sản	() postnatal.
hậu sinh	() person of a younger generation, junior.
hậu sự	() funeral, burial observances.
hậu sự	() coffin.
hậu tạ	() to give something in reward for a service.
hậu tập	() attack in the rear.
hậu thân	() posterior personification, eventual impersonation.
hậu thế	() posterity.
hậu thế	() future generations.
hậu thế	() generations yet unborn.
hậu thổ	() goddess of the earth.
hậu thuẩn	() force in support in the rear, support rear troops.
hậu thuẫn	() support.
hậu thuẫn	() backing.
hậu thuẫn chính trị	() political support.
hậu thuẫn cho ai	(thngữ) to be at the back of somebody.
hậu thuộc địa	() post-colonial.
hậu thưởng	() to reward handsomely.
hậu tiến	() lagging behind, backward.
hậu tình	() considerate treatment (of others), decent behaviour (towards others).
hậu tố	() (ngôn ngữ học) suffix.
hậu tố giảm nhẹ	() diminutive.
hậu tố tăng to	(dtừ) augmentative.
hậu trường	() backstage.
hậu trường	() behind the scenes.
hậu tuyến	() rear line.
hậu từ	() (ngôn ngữ học) postposition.
hậu vận	(dtừ) future.
hậu vận	(dtừ) futurity.
hậu vệ	() (bóng đá) fullback.
hậu viện	() (quân) reinforcements.
hậu ý	() thought at the back of one's mind.
hậu ý	() ulterior motive.
he	(dtừ) fish of carp family.
he hé	() (of door, window) be ajar, be half open.
he hé nắng	() the sun barely appeared, a little sunny.
hecta	(dtừ) hectare.
hectogam	(dtừ) hectogram.
hectolit	(dtừ) hectolitre.
hectomet	(dtừ) hectometre.
hectooat	(dtừ) hectowatt.
heliolit	(dtừ) sun-stone.
hen	(dtừ) asthma.
hen phế quản	() bronchial asthma.
hen suyễn	() như hen.
hen tim	() cardiac asthma.
henri	(dtừ) henry.
heo	() hog.
heo	() pig.
heo	() swine (heo vòi).
heo con	() piglet.
heo con	() piggy.
heo đực	() boar.
heo hạch	() (dial) boar.
heo hạch	() a male pig.
heo hắt	() desolate.
heo hút	(ttừ) solitary, out-of-the-way.
heo may	() north-east wind.
heo nái	() female pig.
heo nái	() sow.
heo quay	(dtừ) roast pork.
heo rừng	() wild boar.
heo sữa	() xem lợn sữa.
heo vòi	() raphis pallm.
heo vòi	() raphis stick, raphis cane.
heo vòi la mã	(dtừ) seladang.
hepatit	(dtừ) hepatite.
heptan	(dtừ) heptane.
heterođin	(ttừ) heterodyne.
hexan	(dtừ) hexane.
hexoza	(dtừ) hexose.
hé	() open slightly.
hé	() break.
hé lộ ra	(dtừ) peep.
hé mắt	() half opening one's eyes.
hé môi	(đtừ) to open one's lips.
hé mở	(đtừ) to half-open.
hé nắng	(đtừ) to break.
hé nhìn	(nđtừ) peek, keek.
hé nở	() (of flower) have just opened.
hé ra	(dtừ) peep.
hé rạng	(dtừ) peep, dawn.
hé răng	(đtừ) to open one's mouth.
héc	(dtừ) hertz.
héc ta	() hectare.
héo	(ttừ) faded.
héo	(ttừ) dead.
héo	(ttừ) withered.
héo dần	(thngữ) to burn away.
héo đi	(nđtừ) fade.
héo hắt	(đtừ) to fade.
héo hắt	(đtừ) to wither.
héo hon	() waste away (héo hon).
héo hon đi vì mong mỏi	(nđtừ) languish.
héo hon mòn mỏi đi vì sầu khổ	(thngữ) to devour one's heart.
héo hon mòn mỏi đi vì sầu khổ	(thngữ) to eat one's heart out.
héo hon ốm yếu	(ttừ) peaked.
héo hon vì mong mỏi	(ttừ) languishing.
héo mòn đi	(thngữ) to fall away.
héo nẫu	(ttừ) sleepy.
héo nhăn	() shrivel and wrinkle.
héo quăn	() dry and curl up.
héo quắt	() shrivel(up).
héo queo	() wither, drop.
héo queo	() curl up, roll up.
héo ruột	() be painful.
héo rụi	(ngđtừ) perish.
héo rụi	(nđtừ) perish.
héo rụi	(ttừ) perishable.
héo rụng	() wither and fall off.
héo tàn	() fade, wither.
héo tàn	() fall off/away.
héo úa	(dtừ) marcescence.
héo úa	(ttừ) marcescent.
héo von	() wilt.
héo von	() emaciated.
hét	(đtừ) to cry.
hét	(đtừ) to roar.
hét	(đtừ) to scream.
hét át	(ngđtừ) outshout.
hét lác	() threaten blusteringly, browbeat.
hét lên	(đtừ) scream.
hét ra lửa	() xem làm mưa làm gió.
hét to hơn	(ngđtừ) outshout.
hét toáng	() shout, call out.
hè	() summer.
hè	() sidewalk.
hè	() pavement.
hè đường	(dtừ) pavement.
hè hụi	() try collectively to.
hèm	(dtừ) draff.
hèm hẹp	() xem hẹp (láy).
hèm rượu	() brewer's grains.
hèm tên	() to taboo a name.
hèn	() base.
hèn	() vile.
hèn	() humble.
hèn	() mean.
hèn	() poor.
hèn	() cowardly.
hèn	() spineless.
hèn chi	() (cũng nói hèn gì) that is why, therefor, no wonder.
hèn gì	() xem hèn chi.
hèn hạ	(ttừ) vile.
hèn hạ	(ttừ) mean.
hèn hạ	(ttừ) despicable.
hèn kém	() mean.
hèn mạt	(ttừ) very mean, very base.
hèn mọn	() humble.
hèn mọn	() lowly.
hèn nào	() như hèn chi.
hèn nhát	(ttừ) cowardly.
hèn nhát	(ttừ) dastardly.
hèn yếu	(ttừ) pusillanimous, faint-hearted.
hèo	(dtừ) cudgel.
hẻm	() alley.
hẻm	() lane.
hẻm cụt	() blind alley.
hẻm cụt	() cul-de-sac.
hẻm núi	() ravine.
hẻm núi	() gulch.
hẻm núi	() defile.
hẻo lánh	(ttừ) solitary.
hẻo lánh	(ttừ) remote.
hẻo lánh	(ttừ) secluded.
hẽm	(dtừ) chimney, donga.
hẽm núi	(dtừ) gullet, ravine, defile, canyon, kloof, gate, notch, gorge.
hẹ	(dtừ) shallot.
hẹ	(dtừ) scallion.
hẹn	() to make an appointment with somebody.
hẹn đến ngày	() make an appointment on....
hẹn đến ngày	() set time till....
hẹn gặp	() rendezvous, appointment.
hẹn giờ	() (cái hẹn giờ (ở quạt điện...)) timer.
hẹn hò	(đtừ) to make a date, to date with.
hẹn hò bí mật	(dtừ) assignation.
hẹn hò với gái điếm	(dtừ) call-up.
hẹn trả tiền	(ttừ) promissory.
hẹn ước	() (văn chương) promise.
hẹp	(ttừ) narrow.
hẹp	(ttừ) confined.
hẹp	(ttừ) strait.
hẹp bằng cái lỗ mũi	(thngữ) no room to turn in.
hẹp bằng cái lỗ mũi	(thngữ) no room to swing a cat.
hẹp bụng	() xem nhỏ nhen.
hẹp hòi	() small-minded.
hẹp hòi	() narrow-minded.
hẹp hòi	() insular.
hẹp hòi	() illiberal.
hẹp hòi nông cạn	(ttừ) constricted.
hẹp khổ	() narrow width.
hẹp lại	(ngđtừ) scrimp, straiten.
hẹp lại	(thngữ) to take in.
hẹp lượng	(ttừ) ungenerous, illiberal.
hẹp phế quản	() bronchostenosis.
hẹp trí	() short-sighted.
hê	(khẩu ngữ) throw, fling away (a tray of food in a fit of anger...).
hê-brơ	(ttừ) hebrew.
hê-gen	(ttừ) hegelian.
hên	() lucky.
hên	() fortunate.
hên xui	() xem may rủi.
hêrôin	() (dược học) heroin.
hếch	(đtừ) to raise.
hếch	(đtừ) to lift up.
hếch hoác	(ttừ) gaping.
hếch lên	(thngữ) to turn up.
hếch lên	(ttừ) cocked.
hếch mồm	(đtừ) to gape.
hếch mũi nhại	(thngữ) to turn up one's nose at.
hến	(dtừ) mussel.
hết	(đtừ) to finish.
hết	(đtừ) to end.
hết	(đtừ) to expire.
hết	(đtừ) to come to an end.
hết ảo tưởng	(dtừ) disenchantment.
hết ảo tưởng	(ngđtừ) disenchant.
hết ảo tưởng	(thngữ) to put wise.
hết bệnh	() xem khỏi bệnh.
hết bực tức	(ngđtừ) disarm.
hết cách	() have tried every means, have exhauted all resources, have left no stone unturned.
hết cả	() all and sundry, all without exception.
hết cả cái gì	(nđtừ) partake.
hết chỗ	() full.
hết chỗ	() 'no vacancies' (ghi ở khách sạn).
hết chỗ	() 'house full' (ghi ở rạp hát).
hết chỗ	() 'full' (ghi ở bãi đậu xe).
hết chỗ ngồi	() no more seats.
hết chỗ nói	() extremely.
hết chỗ nói	() exceedingly.
hết chuyện	() that's all.
hết công dụng	(ngđtừ) impoverish.
hết công suất	(thngữ) working/firing on all cylinders.
hết cơn bỉ cực đến tuần thái lai	(thngữ) it is a long lane that has no turning.
hết cơn bĩ cực đến hồi thái lai	(tục ngữ) after rain comes fine weather.
hết cơn bĩ cực đến hồi thái lai	(tục ngữ) after a storm comes a calm.
hết cơn bĩ cực đến hồi thái lai	(tục ngữ) tomorrow is another day.
hết cơn bĩ cực tới hồi thái lai	(thngữ) after rain comes fair weather (sunshine).
hết cỡ	() oversize.
hết cỡ	() at full volume.
hết cỡ	() at full speed/throttle.
hết cỡ	() at top speed.
hết của	() broke, penniless.
hết dạ	() xem hết lòng.
hết dây	(ttừ) run-down.
hết dần hết mòn	() dwindle away to nothing.
hết dè dặt lạnh lùng	(dtừ) thaw.
hết duyên	() no longer attractive.
hết duyên	() emotional relationship is severed.
hết đà	(ngđtừ) spend.
hết đà	(ttừ) spent.
hết đi	(phó từ) away.
hết đông lạnh	(đtừ) defrost.
hết đỗi	() very, extremely, completely.
hết đời	() (nghĩa xấu) be dead and gone.
hết đường	() end of the road.
hết đường	() no way.
hết e lệ dè dặt	(ngđtừ) thaw.
hết ga	() to be out of gas.
hết ga	() at full speed/throttle, at top speed.
hết ga	() (nghĩa bóng) at full pressure.
hết gạo	() to be out of rice.
hết gân	() worn out.
hết giờ	(dtừ) full time.
hết hạn	() to expire.
hết hạn	() to be out of date.
hết hiệu lực	() no longer valid.
hết hiệu lực	() invalid.
hết hiệu lực	() stale.
hết hiệu nghiệm	() no longer effective.
hết hoàn toàn	(dtừ) zero.
hết hoe	(dtừ) fleck.
hết hồn	() (sợ hết hồn) to have one's heart in one's mouth.
hết hơi	() to get breathless/out of breath.
hết hy vọng	(thngữ) the jig was up.
hết hy vọng	(ttừ) despairing, gone.
hết lẽ	() exhaust one's arguments.
hết lòng	() wholeheartedly.
hết lòng	() with all one's heart/with one's whole heart.
hết lòng	() body and soul.
hết lòng	() heart and soul.
hết lời	() to have said what one has to say.
hết lời	() to have nothing else to say.
hết lời	() xem không ngớt lời.
hết lời ca ngợi	(ngđtừ) belaud.
hết lời ca ngợi	(thngữ) to talk up.
hết lời tán dương	(ngđtừ) belaud.
hết lực	(thngữ) all out.
hết mình	() xem hết lòng.
hết mọi khía cạnh	(ttừ) exhaustive.
hết mọi mặt	(ttừ) exhaustive.
hết mù quáng	(ngđtừ) disabuse.
hết mức	(phó từ) thumping.
hết mức	(ttừ) terrific.
hết mức cố gắng	(thngữ) working/firing on all cylinders.
hết mực	() outstandinglly.
hết nghị lực	(ttừ) spent.
hết nhàu	(ngđtừ) unwrinkle.
hết nhăn	(ngđtừ) unwrinkle.
hết nhẵn	() clean out of.
hết nhẽ	() use up all agruments.
hết nhiệm kỳ	() term is up.
hết nhiệm vụ	() end of mission.
hết nhựa	(ngđtừ) sap.
hết nói	() have nothing more to say.
hết nợ	(ttừ, phó từ) afloat.
hết nước	() be at the end of one's tether.
hết phiên gác	(thngữ) to stand down.
hết phương	(dtừ) beam-ends.
hết quăn	(ngđtừ) uncurl.
hết quăn	(nđtừ) uncurl.
hết ráo	() completely out of.
hết rồi	() all gone, everything is over.
hết sai lầm	(ngđtừ) disabuse.
hết sai lầm	(thngữ) to put wise.
hết sảy	() (thông tục, tiếng địa phương) như hết ý.
hết sạch	() clean out of.
hết sạch sành sanh	() all finished, all gone.
hết sức	() with all one's might/strength.
hết sức	() with might and main.
hết sức	() quite.
hết sức	() mighty.
hết sức	() exceedingly.
hết sức	() extremely.
hết sức	() monumentally.
hết sức	() deadly.
hết sức	() deeply.
hết sức	() greatly.
hết sức bất công	(dtừ) iniquitousness.
hết sức bất công	(ttừ) iniquitous.
hết sức bí mật	(thngữ) between you and me and the gate-post, under one's hat, to strict confidence.
hết sức chính xác	(ttừ, phó từ) point-device.
hết sức dễ dùng	(ttừ) foolproof.
hết sức giữ gìn	(dtừ) jealousy.
hết sức giữ gìn	(ttừ) jealous.
hết sức hạn chế	(thngữ) to shut down.
hết sức hiện đại	(ttừ) up-to-the-minute.
hết sức hoảng sợ	(thngữ) take fright (at sth).
hết sức khẩn trương	(phó từ) amain.
hết sức khẩn trương	(thngữ) against time.
hết sức khó chịu	(dtừ) horribleness.
hết sức khó chịu	(ttừ) horrible, sticky, perishing, putrid.
hết sức kinh ngạc	(dtừ) stupefaction.
hết sức kinh ngạc	(ngđtừ) stupefy.
hết sức liều lĩnh	(dtừ) diablerie.
hết sức lộn xộn	(ttừ, phó từ) higgledy-piggledy.
hết sức lớn	(ttừ) almighty.
hết sức mau	(dtừ) blue murder.
hết sức mệt mỏi	(ttừ) whacked.
hết sức mình	(thngữ) all one knows, like hell.
hết sức mình	(ttừ) arduous.
hết sức nhanh	(thngữ) like beans.
hết sức nhanh	(ttừ, phó từ) double-quick.
hết sức nhiệt tình	(phó từ) amain.
hết sức nhiệt tình	(thngữ) (with) heart and hand.
hết sức quan tâm tới	(thngữ) to have something at heart.
hết sức quan trọng	(ttừ) all-in-all.
hết sức rầy rà	(ttừ) dreadful.
hết sức rõ ràng	(ttừ) foolproof.
hết sức rõ ràng	(ttừ, phó từ) point-device.
hết sức sôi nổi	(phó từ) amain.
hết sức sôi nổi	(ttừ) flaming.
hết sức sốt sắng đồng ý	(thngữ) to fall over backwards.
hết sức thiết tha	(thngữ) heart and soul.
hết sức thiết tha	(thngữ) with all one's heart and soul.
hết sức thú vị	(ttừ) smooth, glorious.
hết sức tốc độ	(phó từ) amain.
hết sức vây vo	(thngữ) as proud as punch.
hết sức yêu chuộng	(dtừ) adoration.
hết sữa	(ttừ) dry.
hết tác dụng	() no longer effective.
hết thái độ lạnh lùng	(ngđtừ) thaw.
hết thảy	() all.
hết thảy	() the whole.
hết thời	() to go bankrupt.
hết thời	() to be on the wane/on the ebb.
hết thời	() to be a has-been.
hết thời thanh xuân	(ttừ) autumnal.
hết thở	() to die.
hết thuốc chữa	() xem vô phương cứu chữa.
hết tiền	() to be out of money.
hết tiền	() to be out of cash.
hết tiền hết của	() broke.
hết tiền hết của	() penniless.
hết tiền rỗng túi	(thngữ) to have empty pockets.
hết tốc độ	(ttừ, phó từ) flat-out.
hết tốc lực	(thngữ) full tilt.
hết trong nhà mới ra ngoài ngõ	(tục ngữ) charity begins at home.
hết trọi	() như hết sạch.
hết trơn	() như hết sạch.
hết trụi	() như hết sạch.
hết vé	() fully booked.
hết vé	() full.
hết vé	() (' hết vé') 'house full '.
hết viá	() frightened to death.
hết vốn	() burn out.
hết xài	() out of use/service.
hết xài	() unserviceable.
hết xài	(đùa cợt) good for nothing.
hết xăng	(nđtừ) peter.
hết xẩy	(thngữ) no mean sth.
hết ý	() (thông tục) extremely.
hết ý	() excessively.
hết ý	() what...!.
hết ý	() such...!.
hếu	() (trắng hếu) very white.
hề	() clown.
hề	() funny-man.
hề	() harlequin.
hề	() buffoon.
hề chi	() matter.
hề đồng	() (từ-nghĩa cổ) young servant.
hề gì	() như hề chi.
hề hấn	() địa phương.
hề hấn	() như hề.
hề hề	() grin broadly (naively or one's embarrassment away).
hềnh hệch	() (cười hềnh hệch) to smile naively, to smile artlessly.
hể hả	(ttừ) satisfied.
hể hả	(ttừ) content.
hểnh	() (hểnh mũi) hold up one's head, bridle.
hễ	() if.
hễ	() whenever.
hễ ai	() whoever.
hễ bao giờ	() whenever.
hễ cần	() if it is necessary, any time there is need.
hễ cứ đụng đến là cười	(dtừ) ticklishness.
hễ gặp	() if (you) happen to see....
hễ khi nào	() whenever.
hễ mà	() as sure as.
hễ mà	() if.
hệ	() network.
hệ	() system.
hệ bát phân	() (toán học) octal system.
hệ bài tiết	() excretory system.
hệ biến hóa	(dtừ) paradigm.
hệ cacbon	(ttừ) carboniferous.
hệ cambri	(dtừ) cambrian.
hệ can chi	() chinese era.
hệ cấp	() hierarchy.
hệ chế	() regime.
hệ chim	(dtừ) avifauna.
hệ chuyên gia	() (tin học) expert system.
hệ đa công	() multiplex system.
hệ điều hành	() (tin học) operating system.
hệ đo lường	() weights and measures.
hệ động vật	() fauna.
hệ đơn công	() (kỹ thuật) simplex.
hệ giao cảm	() sympathetic system.
hệ gien	() genom.
hệ hô hấp	() respiratory tract.
hệ hô hấp	() respiratory system.
hệ lập phương	() cubic system.
hệ lớp	() beds.
hệ luận	() xem hệ quả.
hệ lục thập	() (toán học) sexagesimal system.
hệ lụy	() corollary.
hệ lụy	() social ties.
hệ lụy	() family ties.
hệ miễn dịch	() immune system.
hệ mười	(ttừ) denary.
hệ ngôn ngữ	(ttừ) indo-european.
hệ ngôn ngữ ấn-âu	(dtừ) indo-european.
hệ ngôn ngữ xê-mít	(dtừ) semitic.
hệ nguyên âm	(dtừ) vocalism.
hệ nhị phân	() (toán học) binary system.
hệ nhị thập	() (toán học) vigesimal system.
hệ niệm	() memory.
hệ pecmi	(ttừ) permian.
hệ phái	() faction.
hệ phái	() wing (of a party).
hệ phân tích	() analyzer.
hệ phân tích ánh sáng	() light analyzer.
hệ phân tích âm thanh	() sound analyzer.
hệ phân tích các kích thích có điều kiện	() conditioned reflex analyzer.
hệ phân tích lớp da	() skin analyzer.
hệ phân tích thính giác	() auditory analyzer.
hệ phân tích thính giác	() acoustic analyzer.
hệ phân tích tổng hợp	() synthesis analyzer.
hệ phân tích vận động	() motor.
hệ phế quản	() bronchial tree.
hệ phương pháp	(dtừ) methodology.
hệ phương trình	() set of equations.
hệ phương trình	() system of equations.
hệ phương trình	() simultaneous equations.
hệ puli	(dtừ) tackle.
hệ quả	() consequence.
hệ quả	() impact.
hệ quả	() corollary.
hệ quản lý cơ sở dữ liệu	() database management system.
hệ quản lý cơ sở dữ liệu	() dbms.
hệ sao chổi	() comet system.
hệ sinh sản	() (sinh học) reproductive system.
hệ sinh thái	() ecosystem.
hệ song công	() duplex system.
hệ số	() coefficient.
hệ số an toàn	() safety factor.
hệ số bành trướng	() coefficient of expansion.
hệ số bền	() coefficient of resistance.
hệ số cao thế	() quotient value.
hệ số đồng hóa	() assimilatory quotient.
hệ số góc	() angular coefficient.
hệ số khuếch đại	() amplification factor.
hệ số khúc xạ	() refractive modulus.
hệ số nén	(dtừ) compressibility.
hệ số nở	() co-efficient of expansion.
hệ số thông minh	(dtừ) intelligence quotient.
hệ số vi phân	() differential quotient.
hệ sợi	(dtừ) spawn, mycelium.
hệ sợi	(ttừ) mycelial.
hệ tâm lý	(dtừ) psychology.
hệ tâm nhĩ thất	() atrioventricular system.
hệ tầng	() formation.
hệ tập tin	() (tin học) file system.
hệ thần kinh	() nervous system.
hệ thần kinh đối giao cảm	() parasympathetic nervous system.
hệ thần kinh giao cảm	() sympathetic nervous system.
hệ thần kinh ngoại biên	() peripheral nervous system.
hệ thần kinh thực vật	() vegetative nervous system.
hệ thần kinh trung ương	() central nervous system.
hệ thập lục	() (toán học) hexadecimal system.
hệ thập nhị	() (toán học) duodecimal system.
hệ thập phân	() (toán học) decimal system.
hệ thiên hà	() galactic system.
hệ thông tin	() information system.
hệ thống	() system.
hệ thống	() network.
hệ thống	() net.
hệ thống âm thanh nổi	() stereo system.
hệ thống âm vị	(dtừ) phonology.
hệ thống bánh răng	(dtừ) gearing.
hệ thống bánh xe	(dtừ) wheel-train, wheel.
hệ thống bắp thịt	(dtừ) musculature.
hệ thống bến	(dtừ) quayage.
hệ thống các cơ quan	(dtừ) institutionalism.
hệ thống cân lường anh mỹ	(dtừ) avoirdupois.
hệ thống cấp bậc	(dtừ) hierachy.
hệ thống cấp cứu	() emergency system.
hệ thống chính trị	() political system.
hệ thống chuyển tiền trực tiếp	(dtừ) giro.
hệ thống chữ bray	(dtừ) braille.
hệ thống chữ cái	(dtừ) alphabet.
hệ thống công đoàn	() trade-unionism.
hệ thống công nghiệp quy mô lớn	(dtừ) industrialism.
hệ thống công sự bao vây	(dtừ) contravallation.
hệ thống công trình ngầm ở đô thị	() urban underground system.
hệ thống cống rãnh	() sewage system.
hệ thống cống rãnh nội địa	(dtừ) interior drainage.
hệ thống cơ	(dtừ) musculature.
hệ thống cung cấp nước	(dtừ) water-supply, waterworks.
hệ thống cửa cống	(dtừ) lockage.
hệ thống dây điện	(dtừ) wiring.
hệ thống dây nói nội bộ	(dtừ) interphone.
hệ thống dẫn nước	(dtừ) water system.
hệ thống dự phòng	() backup system.
hệ thống đánh lửa	() ignition system.
hệ thống đèn đường	() street lighting system.
hệ thống điều hành	() operating system.
hệ thống điều hòa không khí	() air-conditioning system.
hệ thống điều khiển	() control system.
hệ thống điều khiển súng	(dtừ) fire-control.
hệ thống điều khiển vào/ra	() input/output control system.
hệ thống điện	() system of electric wires.
hệ thống điện	() wiring.
hệ thống điện đặt	(dtừ) installation.
hệ thống điện thoại	() telephony.
hệ thống điện tử truyền dữ liệu	() electronic data communication system.
hệ thống định giờ	() timing system.
hệ thống đo lường	() weights and measures.
hệ thống đo lường anh	(ttừ) imperial.
hệ thống đường dây	(dtừ) grid.
hệ thống đường ray	(dtừ) trackage.
hệ thống đường rãnh xẻ trong nòng súng	(dtừ) rifling.
hệ thống ghi âm	() sound recording system.
hệ thống giá trị	() system of values.
hệ thống hài hòa	(dtừ) cosmos.
hệ thống hóa	() to organize systematically.
hệ thống hóa	() to systematize.
hệ thống hóa kiến trúc	(dtừ) architectonics.
hệ thống hóa kiến trúc	(ttừ) architectonic.
hệ thống kế toán	() system of accounts.
hệ thống kế toán	() accounting system.
hệ thống khép kín	() closed system.
hệ thống kinh tế	() economic system.
hệ thống ký hiệu	(dtừ) notation.
hệ thống làm nguội	() cooling system.
hệ thống làm nóng	() heating system.
hệ thống lôgic	(dtừ) organon.
hệ thống máy đặt	(dtừ) installation.
hệ thống máy nói nội bộ	(dtừ) interphone.
hệ thống mã	() code system.
hệ thống mắt cáo	(dtừ) network.
hệ thống ngân hàng	() banking system.
hệ thống nghe nhìn	() audiovisual system.
hệ thống ống	(dtừ) tubing.
hệ thống ống dẫn	(dtừ) piping.
hệ thống ống nước	() plumbing.
hệ thống ống tưới nước	(dtừ) sprinkler system.
hệ thống phản hồi	() feedback system.
