ka ki	() khaki.
khả năng và hiện thực	() possibility and reality.
khả nghi	() suspicious.
khả nghi	() shady.
khả nghi	() fishy.
khả nghi	() suspect.
khả nghi	() doubtful.
khả nhận	() acceptable.
khả ố	() hateful.
khả ố	() detestable.
khả phục	() admirable.
khả quan	() good.
khả quan	() satisfactory.
khả quy	() reducible.
khả quyết	() affirm, recognize.
khả thi	() realizable.
khả thi	() feasible.
khả thính	() audible.
khả thủ	() (ít dùng) acceptable.
khả thụ	() fertile.
khả tiêu	() consumable.
khả tiếu	() funny, laughable.
khả tích	() (toán học)(tính khả tích) integrability.
khả tín	() credible, reliable, believable.
khả vọng	() which one can hope for.
khải ca	() triumphal hymn, paean.
khải hoàn	() triumphal return.
khải hoàn ca	() song of triumph/victory.
khải hoàn ca	() triumphal hymn.
khải hoàn ca	() paean.
khải hoàn môn	() triumphal arch.
khải huyền	(dtừ) apocalypse.
khảm	(đtừ) to encrust.
khảm	(đtừ) to inlay.
khảm	(đtừ) to enchase.
khảm kha	() difficult, bad luck (chuyện khảm kha).
khảm men huyền	(ttừ) nielloed.
khảm xà cừ	() inlay with mother-of-pearl.
khảm xà cừ	() nacred.
khản	() hoarse.
khản cổ	() hoarse.
khản giọng	(dtừ) hoarseness, huskiness.
khản tiếng	() to get hoarse.
khảng khái	(ttừ) brave.
khảng khái	(ttừ) chivalrous.
khảnh	() dainty, finical (about one's food).
khảnh ăn	() như khảnh.
khảo	(đtừ) to torture.
khảo	(đtừ) to extort.
khảo chứng	() check evidence.
khảo cổ	() xem khảo cổ học.
khảo cổ học	() archaeology.
khảo cổ học	() archaeological.
khảo của	() extort money.
khảo cứ	() evidence.
khảo cứu	(đtừ) to study.
khảo cứu	(đtừ) to carry out scientific research.
khảo cứu nhân chủng	() ethnography.
khảo dị	() variant.
khảo duyệt	() examine.
khảo đả	() torture.
khảo đính	() (ít dùng) revise.
khảo gạo	() investigate the price of rice.
khảo giá	() check different prices.
khảo giáo	() examine and compare.
khảo hạch	(đtừ) to test.
khảo hiệu	() collate (with).
khảo luận	() treatise.
khảo lự	() to deliberate, consider.
khảo nghiệm	() test, experiment.
khảo quan	() (cũ) examiner.
khảo sát	() to study.
khảo sát	() to survey.
khảo sát thực địa	() field work.
khảo sát tỉ mỉ	(dtừ) exploration.
khảo sát tỉ mỉ	(ngđtừ) dissect, explore.
khảo tấn	() interrogate under torture.
khảo thí	() give an take examinations (nói khái quát).
khảo thích	() (ít dùng) research into and make glosses on.
khảo tra	() investigate.
khảo vấn	() question closely (cadidaties).
khảo xét	() investigate.
khảy	() (địa phương) như gảy.
khạc	() to spit.
khạc chẳng ra	() khac chang ra nuot chang vao,xem tiến thoái lưỡng nan.
khạc đờm	() to force up phlegm from the throat.
khạc đờm	() to expectorate.
khạc nhổ	() to expectorate.
khạc nhổ	() to spit.
khạc ộc mủ	(dtừ) vomica.
khạc ra	(thngữ) to spit out.
khạc ra máu	() to spit blood.
khạng nạng	() (ít dùng)(đi khạng nạng) walk with bow-legged gait.
khạp	(dtừ) large glazed earthenware jar.
khăm	() nasty.
khăm khắm	() xem khắm (láy).
khăn	(đtừ) towel.
khăn áo	() (cũ) garb.
khăn ăn	() napkin.
khăn bàn	() như khăn trải bàn.
khăn bàn khăn ăn	(dtừ) table-linen.
khăn bông	(đtừ) towel.
khăn bông xù	(thngữ) turkish towel.
khăn chầu	() turban of sorceress.
khăn che gáy	(dtừ) puggree.
khăn che mặt	(dtừ) veil.
khăn che mũi	(dtừ) mask.
khăn chéo	(dtừ) fichu.
khăn chế	() xem khăn tang.
khăn choàng	() shawl.
khăn choàng cổ	(dtừ) scarf, muffler.
khăn choàng len sọc vuông	(dtừ) plaid.
khăn chùm đầu	(dtừ) head covering, headscarf.
khăn có dấu mặt chúa	(dtừ) veronica.
khăn cổ	(dtừ) neckerchief, scarf.
khăn đầu rìu	() ox-head turban (sign of leadership).
khăn để rửa bát đĩa	(dtừ) dish-cloth.
khăn đóng	() (địa phương) như khăn xếp.
khăn đống	(dtừ) turban.
khăn giấy	() paper handkerchief.
khăn giấy	() tissue.
khăn gói	() lagre handkerchief (to make a bundle of clothes, etc with).
khăn gói ra đi	(thngữ) to pack off.
khăn gối	(dtừ) pillow cover.
khăn khẳn	() xem khẳn (láy).
khăn lau	() wiping cloth.
khăn lau ấm tách	(dtừ) tea-cloth.
khăn lau bát	(dtừ) dish towel.
khăn lau bụi	(dtừ) duster.
khăn lau cốc	(dtừ) glass-cloth.
khăn lau mặt	(dtừ) washcloth, towel.
khăn lau tay	(dtừ) napkin.
khăn len	(dtừ) wollen scarf.
khăn lễ	(dtừ) amice.
khăn liệm	(dtừ) grave clothes.
khăn lót	(dtừ) doily.
khăn mặt	() face-cloth.
khăn mặt	() face-flannel.
khăn mặt	() wash-cloth.
khăn mặt cuốn	(dtừ) jack-towel.
khăn mỏ quạ	() kerchief (to be tired in a triangle on the forehead).
khăn mùi soa	(dtừ) hanky, handkerchief, nose-wiper, kerchief.
khăn mùi soa bằng lụa mỏng	(dtừ) foulard.
khăn mùi xoa	() xem khăn tay.
khăn ngang	() mourning head-band.
khăn phủ	(dtừ) lay-over, slip-cover.
khăn phủ giường	(dtừ) coverlet, counterpane, sheet-sham.
khăn phủ gối	(dtừ) pillow-sham.
khăn phủi bụi	(dtừ) dust-sheet.
khăn quàng	() scraf, muffler.
khăn quàng bằng lụa mỏng	(dtừ) foulard.
khăn quàng cổ	(dtừ) neckerchief, comforter, scarf, neckcloth.
khăn quàng cổ bằng lông thú	(dtừ) necklet.
khăn quàng đầu	(dtừ) puggree.
khăn quàng đỏ	(dtừ) red tie (of pioneer).
khăn quàng hai màu	(dtừ) belcher.
khăn quàng lông	(dtừ) boa.
khăn quàng vai	(dtừ) sash, scarf.
khăn rằn	(dtừ) bandanna.
khăn rửa mặt	(dtừ) wash-cloth.
khăn san	() shawl.
khăn san casơmia	(dtừ) cashmere.
khăn tang	() mourning hed-band.
khăn tay	() handkerchief.
khăn tay giẻ rách	(dtừ) rag.
khăn tay lớn in hoa sặc sỡ	(dtừ) bandanna.
khăn tắm	() bath towel.
khăn thánh	(dtừ) corporal.
khăn thắt lưng	(dtừ) sash, scarf, cummerbund.
khăn trải	(dtừ) spread, cloth.
khăn trải bàn	() table-cloth.
khăn trải bàn	() table-cover.
khăn trải bàn ăn	(dtừ) table-cloth.
khăn trải bàn nhỏ	(dtừ) overlay.
khăn trải bàn thờ	(dtừ) altar-cloth, vestment.
khăn trải bàn trà	(dtừ) tea-cloth.
khăn trải dưới chân bàn ăn	(dtừ) crumb-cloth.
khăn trải giường	() bedspread.
khăn trải giường	() counterpane.
khăn trải khay trà	(dtừ) tea-cloth.
khăn trắng	() white mourning head-band.
khăn trùm	(dtừ) headscarf, wimple, chuddar.
khăn trùm của bá tước	(dtừ) cornet.
khăn trùm đầu	(dtừ) head-dress, headgear.
khăn ướt để đắp	(dtừ) pack.
khăn vệ sinh	(dtừ) diaper.
khăn vuông	() kerchief.
khăn vuông quàng cổ	(dtừ) handkerchief.
khăn vuông trùm đầu	(dtừ) kerchief.
khăn xếp	() (cũ) ready-to-wear turban (of men).
khăn xỉ mũi	(dtừ) noserag, snot-rag, nose-wiper.
khăn xốp	(dtừ) sponge-cloth.
khăng	(dtừ) cat.
khăng choàng vai	(dtừ) stole.
khăng khăng	() to persist.
khăng khăng	() to insist.
khăng khăng đòi	(dtừ) insistence.
khăng khăng đòi	(đtừ) insist.
khăng khăng đòi	(thngữ) to stand on.
khăng khăng giữ ý kiến mình	(ttừ) opinionated.
khăng khít	(ttừ) to be attached.
khăng khít	(ttừ) devoted to.
khắc	(đtừ) to carve.
khắc	(đtừ) to engrave.
khắc	(dtừ) quarter of an hour.
khắc axit	(dtừ) etching.
khắc axit	(đtừ) etch.
khắc bạc	() stern and harsh.
khắc chạm	(ngđtừ) incise.
khắc chấm vào	(đtừ) stipple.
khắc chữ	(dtừ) lettering.
khắc đấu	(ngđtừ) tally.
khắc đồng	() copper-engraving.
khắc đồng bằng ngòi khô	(nđtừ) dry-point.
khắc đường chéo song song	(ngđtừ) cross-hatch.
khắc gỗ	() wood-engraving.
khắc khe	(dtừ) rigidity.
khắc khoải	(ttừ) worried.
khắc khoải	(ttừ) anxious.
khắc khoải lo âu	() xem đứng ngồi không yên.
khắc khổ	(ttừ) harsh.
khắc khổ	(ttừ) austere.
khắc kỷ	() stoic.
khắc kỷ	() chủ nghĩa khắc kỷ stoicism.
khắc lên kẽm	(ngđtừ) zincograph.
khắc lên kẽm	(nđtừ) zincograph.
khắc lên kẽm	(ttừ) zincographic.
khắc lõm	(ngđtừ) intaglio.
khắc nạo	(ngđtừ) mezzotint.
khắc nghiệt	() harsh.
khắc nghiệt	() severe.
khắc nổi cao	(dtừ) alto-relievo.
khắc nung	() pyrography.
khắc phục	() to make good.
khắc phục	() to repair.
khắc phục	() to overcome.
khắc phục	() to surmount.
khắc phục được những phần khó khăn nhất	(thngữ) to break the neck of.
khắc sâu	() engraved (on somebody's memory).
khắc sâu	() embedded (in somebody's memory).
khắc sâu vào	(thngữ) to grow in, to burn into.
khắc trên thép	(dtừ) steel-engraving.
khắc vào	(ttừ) incuse.
khắm	(ttừ) ill-smelling.
khắp	() all over.
khắp	() throughout.
khắp cả	(thngữ) all over.
khắp chốn	(phó từ) everywhere.
khắp chốn	(thngữ) up and down.
khắp mọi nơi	(thngữ) far and wide.
khắp nơi	() everywhere.
khắp nơi	() anywhere.
khắp nơi	() high and low.
khắp nơi	() left, right and centre.
khắp nơi	() here, there and everywhere.
khắp nơi khắp chỗ	(thngữ) here, there and everywhere.
khắp nước	(ttừ) statewide.
khắp thế giới	(ttừ) ecumenical, oecumenical, world-wide.
khắt khe	() stern.
khắt khe	() strict.
khắt khe	() severe.
khằn	(ttừ) stunted.
khằng	() (địa phương) sealing-wax.
khẳm	(ttừ) laden.
khẳm	(ttừ) loaded.
khẳn	() having a very offensive smell.
khẳn	() (khăn khẳn)(láy, ý giảm).
khẳn tính	() grumpy and liked by few people.
khẳng định	() to affirm.
khẳng định	() to assert.
khẳng định sự tồn tại	(ttừ) existential.
khẳng khái	() như khảng khái.
khẳng kheo	() như khẳng khiu.
khẳng khiu	() skinny, scrawny, scraggy, scrubby.
khặc khừ	() a bit under the weather.
khâm liệm	() to lay somebody in a coffin.
khâm mạng	() act as the king's envoy.
khâm mạng	() king's envoy.
khâm mạng	() légate.
khâm phục	(đtừ) to admire.
khâm sai	() king's special envoy.
khâm sứ	() (cũ) french resident superior (in central vietnam).
khâm thiên giám	() (lịch sử) the astronomical service.
khâu	() to seam.
khâu	() to stitch.
khâu	() to sew.
khâu	() to stitch up.
khâu	() to suture.
khâu	() phase (of a production line).
khâu bàn chân cho bít tất	(dtừ) footing.
khâu chần	() quilt.
khâu chữ chi	(ngđtừ) herring-bone.
khâu diềm	(đtừ) welt.
khâu dột	() backstitch.
khâu dúm dó	(ngđtừ) pucker.
khâu giấu mũi	(ngđtừ) stoat.
khâu lẩn mũi	(ngđtừ) fine-draw, stoat.
khâu lược	() tack, baste.
khâu mắt	(ngđtừ) seel.
khâu nối	(dtừ) interlink.
khâu nối lại	(ngđtừ) seam.
khâu nổi vết thương	(dtừ) seam.
khâu sản xuất đình trệ	(dtừ) bottle-neck.
khâu tay	() sew by hand-sew.
khâu theo đường chữ chi	(dtừ) feather-stitch.
khâu theo đường chữ chi	(đtừ) feather-stitch.
khâu vá	() sew (nói khái quát).
khâu vào giữa hai lần áo	(ngđtừ) quilt.
khâu vắt	() whip-stitch.
khâu vết mổ	(dtừ) suturation.
khâu vết thương	(dtừ) suturation.
khâu viền	(dtừ) fell.
khâu viền	(ngđtừ) fell.
khâu xích	(dtừ) link.
khấc	(dtừ) nick.
khấc	(dtừ) notch.
khấc nỏ	(dtừ) nock.
khấc tên	(dtừ) nock.
khấm khá	() be better off.
khấm khá hơn	(thngữ) to be better off.
khấn	(đtừ) to pray.
khấp kha khấp khểnh	() xem khấp khểnh (láy).
khấp khểnh	() uneven, bumpy.
khấp khểnh	() (khấp kha khấp khểnh)(láy, ý tăng).
khấp khiểng	(phó từ) haltingly.
khấp khởi	() (feel) elated, (be) in high spirits.
khất	() to ask for a delay/for an extension.
khất khứa	() promise to comply another time, ask for a delay (nói khái quát).
khất lần	() keep on putting off (paying a debt).
khất nợ	() to ask for a delay to pay one's debt.
khất nợ	() to ask for more time to pay one's debt.
khất nợ	() to ask for an extension (of time) for paying one's debt.
khất nợ	() to delay paying one's debt.
khất sĩ	() begging friar.
khất sĩ	() mendicant friar.
khất sĩ	() mendicant monk.
khất thực	() to beg for food.
khất thực	() to beg for alms.
khất thực	() mendicant.
khấu	(đtừ) to deduct.
khấu đầu	(đtừ) to knowtow.
khấu đầu lạy tạ	(dtừ) kowtow.
khấu đầu lạy tạ	(nđtừ) kowtow, knockhead.
khấu đi	(dtừ) detraction, deduction.
khấu đi	(đtừ) detract.
khấu đi	(ngđtừ) deduct.
khấu đuôi	() pork cut at joint of tail.
khấu đuôi	() crupper.
khấu hao	() amortization.
khấu hao	() depreciation.
khấu trừ	(đtừ) to abate.
khấu trừ	(đtừ) to deduct.
khấy đục	(ngđtừ) roil.
khẩn	() to reclaim (waste land).
khẩn	() urgent.
khẩn cấp	() pressing.
khẩn cấp	() urgent.
khẩn cấp	() exigent.
khẩn cầu	() to entreat.
khẩn cầu	() to solicit.
khẩn cầu được	(dtừ) impetration.
khẩn cầu được	(ngđtừ) impetrate.
khẩn cầu được	(ttừ) impetrative.
khẩn chí	() devoted, dedicated.
khẩn điền	() to clear lands.
khẩn độ	() precedence.
khẩn hoang	() break fresh ground.
khẩn hóa	() cultivation.
khẩn hứa	() như khẩn.
khẩn khoản	() entreat persistenly.
khẩn nài	() implore somebody's forgiveness.
khẩn nài xin đừng	(ngđtừ) deprecate.
khẩn nguyện	() beseech.
khẩn phòng	() take precautions against.
khẩn sĩ	() professed monk.
khẩn thiết	() very urgent, very pressing.
khẩn thỉnh	() xem khẩn khoản.
khẩn trương	() to hurry up.
khẩn trương	() prompt.
khẩn trương lên	(thngữ) to look alive, to look sharp.
khẩn trương sẵn sàng chiến đấu	(thngữ) to fly to arms.
khẩn vái	() kowtow and pray under one's breath.
khẩn yếu	() urgent and important.
khẩu	(dtừ) mouth.
khẩu âm	() pronunciation.
khẩu bạ	() gun book.
khẩu biện	() eloquent.
khẩu cái	(dtừ) palate.
khẩu cấp	() quick in speech, loquacious.
khẩu cầm	() harmonica.
khẩu chao	() (cũng nói) khẩu trang gauze mask, respirator.
khẩu chiếm	() improvise, improvisation.
khẩu chiến	() battle of words.
khẩu chiến	() verbal battle.
khẩu chứng	() oral evidence, oral testimony.
khẩu cung	(dtừ) oral deposition.
khẩu đàm	() conversation, oral.
khẩu đầu	() lip service, oral.
khẩu điệp	() verbal note, diplomatic note.
khẩu độ	(dtừ) aperture.
khẩu đội	() battery.
khẩu đội pháo dã chiến	(dtừ) field-battery.
khẩu đội tác xạ	() firing squal.
khẩu đội trưởng	() fire commander, captain of gun.
khẩu garăng	(dtừ) garand rifle.
khẩu hao	() xem khẩu trang.
khẩu hiệu	(dtừ) slogan.
khẩu hiệu	(dtừ) password.
khẩu hiệu chính trong một cuộc vận động	(dtừ) key.
khẩu hình	() (thể loại nghệ thuật) shadow puppet genre.
khẩu hoạt	() gift of the gab.
khẩu khiếu	() eloquence, oratory, the gift of tongues.
khẩu khí	() one's character (as shown by one's way of speaking).
khẩu kính	() caliber.
khẩu kỹ	() mimicry, imitations, be a good speaker, sing well.
khẩu lệnh	() xem mật khẩu.
khẩu lệnh	() verbal command.
khẩu lương	() rations.
khẩu ngạn	() port, river mouth.
khẩu ngữ	() conversational language, informal language.
khẩu pháo	() gun, cannon, artillery piece.
khẩu pháo phạt roi	(thngữ) gunner's daughter.
khẩu phân	() land distribution per capita.
khẩu phần	() ration.
khẩu phần	() helping.
khẩu phần	() portion.
khẩu phần ăn nghèo nàn	(dtừ) short commons.
khẩu phần chiến đấu	(dtừ) k-ration.
khẩu phần dã chiến	() field ration.
khẩu phần dự phòng	(dtừ) dration.
khẩu phần dự trữ	() reserve ration.
khẩu phần dự trữ cuối cùng	(dtừ) iron rations.
khẩu phần đóng hộp	() canned ration.
khẩu phần gấp đôi	() double ration.
khẩu phật tâm xà	() xem miệng nam mô, bụng một bồ dao găm.
khẩu quyết	() orally transmitted secrets.
khẩu súng	(dtừ) piece.
khẩu tài	() (ít dùng) repartee.
khẩu thiệt	() oral, verbal.
khẩu thiệt	() quarrel, argument, altercation.
khẩu thí	() oral examination.
khẩu thuyết	() oral presentation.
khẩu thuyết vô bằng	() mere say so is not evidence.
khẩu trang	() muffler.
khẩu trang	() comforter.
khẩu truyền	() hand down orally, transmit by oral tradition.
khẩu ước	() verbal agreement.
khẩu vấn	() oral examination.
khẩu vị	(dtừ) taste, appetite.
khẩu xú	() have bad breath, have halitosis (hôi miệng).
khẩy	() in cynical manner.
khập khà khập khiễng	() xem khập khiễng (láy).
khập khểnh	(ttừ) halt.
khập khiễng	() limping.
khập khiễng	() (khập khà khập khiễng)(láy, ý tăng).
khật khà khật khừ	() xem khật khừ.
khật khưỡng	() to lurch.
khật khừ	() như khặc khừ.
khe	() slit.
khe	() slot.
khe	() chink.
khe	() interstice.
khe băng	(dtừ) polynia.
khe để bỏ thư	(dtừ) letter-drop.
khe đút tiền	(dtừ) drop.
khe hở	() slit.
khe hở	() slot.
khe hở	() chink.
khe hở	() interstice.
khe hở để kéo phông	(dtừ) cut.
khe kéo phông	(dtừ) sink.
khe khắc	(dtừ) asperity.
khe khắt	(ttừ) austere.
khe khắt	(ttừ) severe.
khe khẽ	() xem khẽ (láy).
khe lá	(dtừ) rent.
khe mái	(dtừ) valley.
khe mũi	() sulcus rhinalis.
khe ngắm	() (súng) peep-sight.
khe nhắm	() open sight, sighting slot.
khe nhìn	() vision slit.
khe nhòm	(dtừ) spyhole.
khe núi	() cross - valley, mountain gorge, mountain creek, canyon.
khe nứt	(dtừ) joint, fissure, fracture.
khe nứt ngang	() bathoclase, cross fracture.
khe nứt trọng lực	() gravity fissure.
khe răng	(ttừ) dentilingual, interdental.
khe răng chìa khóa	(dtừ) ward.
khe sâu	(dtừ) gulch, donga.
khe suối	() rivulet, brook, stream.
khe thanh	() glottis.
khe trượt	() slide, gun slide.
khem	() keep a post-natal diet (with abstinence from some kinds of food believed to be unsuitable to women just out of childbirth).
khen	() to speak highly of somebody/something.
khen	() to praise.
khen	() to compliment.
khen chê	() to praise and blame.
khen chê	() to criticize.
khen khét	() pungent.
khen khét	() acrid.
khen ngợi	() xem khen.
khen nức nở	() to be profuse in one's compliments.
khen nức nở	() to praise lavishly/profusely.
khen nức nở	() to be full of praise for somebody.
khen nức nở	() to heap praise on somebody.
khen quá lời	(dtừ) overpraise.
khen quá lời	(ngđtừ) overpraise.
khen tặng	() to commend and reward.
khen thưởng	() to commend and reward.
kheo	() ham (back part of the leg behind the knee-joint).
kheo khư	() thin and weak.
khé	() have a sharp taste (vị khé).
khé cổ	() have one's throat contracted by too much sweetness.
khéo	(ttừ) clever.
khéo	(ttừ) skilful.
khéo	(ttừ) dexterous.
khéo ăn thì no	(kheo an thi no kheo co thi am,tục ngữ) waste not, want not.
khéo chiếm được	(ngđtừ) steal.
khéo chiếm được	(thngữ) to steal away.
khéo chọn	(phó từ) happily.
khéo chọn	(ttừ) happy.
khéo gọn	(ttừ) clean.
khéo khỉ	() you naughty (lời mắng yêu).
khéo là	() perhaps, may be.
khéo là	() it's wonderful/marvellous.
khéo léo	() clever.
khéo léo	() skilful.
khéo léo	() deft.
khéo léo kỹ xảo	(dtừ) contrivance.
khéo léo trong giao thiệp	(dtừ) diplomacy.
khéo luồn lọt	(dtừ) insinuation.
khéo luồn lọt	(ttừ) insinuative, insinuating.
khéo mà	() perhaps, may be.
khéo mồm	() clever in one's words.
khéo mồm	() smooth-tongued.
khéo mồm	() well-spoken.
khéo như thợ làm	(ttừ) workmanlike.
khéo nói	() clever in one's words.
khéo nói	() smooth-tongued.
khéo nói	() well-spoken.
khéo nói dối	(ttừ) slick.
khéo ở	() have savoir-faire.
khéo sử dụng	(ngđtừ) husband.
khéo tay	() good/clever with one's hands.
khéo tay	() skillful.
khéo tay	() dexterous.
khéo trông nom	(ttừ) managing.
khéo xoay	() have gumption.
khéo xoay	() be resourceful.
khéo xử	(dtừ) tact, management.
khéo xử	(ttừ) tactful.
khép	() to close.
khép	() to shut.
khép	() to sentence.
khép	() to condemn.
khép chặt	() to shut tight.
khép chặt	() to close tight.
khép hờ	() half-open.
khép hờ	() ajar.
khép kín	() closed.
khép kín	() self-contained.
khép kín	() xem khép chặt.
khép lại	(nđtừ) reunite.
khép màn	() to draw the curtains.
khép màn	() to close the curtains.
khép mép	(dtừ) reunion.
khép mép	(nđtừ) reunite.
khép nép	() reserved.
khép tội	() xem kết tội.
khép vào kỷ luật	(ttừ) disciplinable.
khét	(đtừ) to smell.
khét	(đtừ) to be burnt.
khét lèn lẹt	() xem khét lẹt.
khét lẹt	() xem lẹt, khét lèn lẹt (láy,ý tăng).
khét mùi	() the air is full of fumes.
khét tiếng	() infamous.
khét tiếng	() notorious.
khét tiếng xấu	(ttừ) infamous.
khè	() dirty (yellow).
khè khè	() xem khè (láy).
khèn	(dtừ) pan-pipe.
khẻ	() strike.
khẻ	() như ghè.
khẽ	() gently.
khẽ	() softly.
khẽ	() in a low voice.
khẽ	() under one's breath.
khẽ đập	(đtừ) tap.
khẽ khàng	() lightly, softly, gently.
khẽ nhún đầu gối cúi chào	(dtừ) curtsey.
khẽ nhún đầu gối cúi chào	(nđtừ) bob.
khẹc	() monkey (tiếng mắc nhiếc).
khê	() overcooked.
khê nằng nặc	() badly burned (rice).
khê nợ	() dead account.
khênh	() carry with one's hands, move by hand.
khêu	(đtừ) to raise.
khêu	(đtừ) to extract.
khêu chiến	() xem khiêu chiến.
khêu gan	() irritate, vex.
khêu gợi	() sexy.
khêu gợi	() voluptuous.
khêu gợi	() suggestive.
khêu gợi	() to rouse.
khêu gợi	() to stir.
khêu gợi	() to excite.
khêu gợi chú ý	(dtừ) fetish.
khêu gợi ngầm	(dtừ) piquancy.
khêu gợi ngầm	(ttừ) piquant.
khêu ngọn lửa	(thngữ) to brisk up a fire.
khêu ra	(ngđtừ) elicit.
khế	(dtừ) carambola.
khế	(dtừ) contract.
khế	(dtừ) greement.
khế hợp	() unite.
khế hữu	() intimate friend.
khế khoán	() contract.
khế nghị	() intimate friend.
khế phụ	() adopted father, foster father.
khế thự	() contract.
khế tử	() foster son.
khế ước	() bond.
khế ước	() indenture.
khế ước	() covenant.
khế ước	() agreement.
khế ước	() contract.
khế ước	() contractual.
khế ước bảo hiểm	() insurance policy.
khế ước chuyển nhượng	() deed of transference/alienation.
khế ước chuyển nhượng	() assignment.
khế ước chuyển nhượng	() conveyance.
khế ước đa phương	() multilateral contract.
khế ước đơn phương	() unilateral contract.
khế ước gửi hàng	() shipping contract.
khế ước hiệp ý	() consensual contract.
khế ước học nghề	() articles of apprenticeship.
khế ước hợp thức	() contract in due form.
khế ước kiểu hãnh	() aleatory contract.
khế ước lao động	() labour contract.
khế ước mãnh sư	() leonine convention.
khế ước mua bán	() sale contract.
khế ước mua bán	() purchase contract.
khế ước ngay tình	() bona fide contract.
khế ước song phương	() bilateral contract.
khế ước thuê mướn	() rent agreement.
khế ước thuê mướn	() lease.
khế ước trọng thức	() solemn contract.
khế ước vô hiệu	() nude contract.
khế ước xã hội	() social contract.
khế ước xây dựng	() building contract.
khế văn	() deed, written contract.
khề khà	() have a drunken drawl.
khềnh	() như khểnh.
khều	(đtừ) to tease.
khểnh	() protruding.
khểnh	() lounging, sprawling.
khệ nệ	() lumber (under the weight of a heavy load), struggle with a heavy thing.
khệnh khạng	() to sashay.
khi	() time.
khi	() moment.
khi	() when.
khi	() while.
khi	() to slight.
khi	() to despise.
khi ấy	() xem lúc ấy.
khi còn trứng nước	(thngữ) in the egg.
khi dân	() not to care for the people.
khi điều không chắc chắn	(thngữ) when the dust has settled.
khi gợi ý	(thngữ) what/ how about?.
khi hãm xe thì sáng lên	(dtừ) brake light.
khi khác	() some other time.
khi khác	() another time.
khi không	() by chance.
khi không	() by accident.
khi không	() xem chẳng hiểu vì sao.
khi khu	() (văn chương) uneven, bumpy.
khi lăng	() mal-treat, ill-treat, treat somebody badly.
khi mà tình hình trở nên nghiêm trọng	(thngữ) when the band begins to play.
khi mạn	() (cũ) slight.
khi mệnh lệnh được ban ra	(thngữ) at the word of command.
khi mọi việc đều được cân nhắc	(thngữ) the end of the day.
khi nào	() xem lúc nào.
khi nãy	() xem lúc nãy.
khi nên	() when fortune smiles upon you, when you are favoured by fortune.
khi nghĩ đến	(thngữ) at the thought of.
khi nóng quá khi lạnh quá	(ttừ) intemperate.
khi quân	() (tội khi quân) offense against the sovereign.
khi quân	() lese-majesty.
khi so sánh	(thngữ) by comparison.
khi thị	() despise.
khi trá	() (ít dùng) be in the habit of lying, be a liar.
khi trước	() formerly.
khi trước	() before.
khiêm	() unassuming.
khiêm cung	() modest and respectful.
khiêm khắc	(dtừ) sternness.
khiêm nhường	(ttừ) humble.
khiêm nhường	(ttừ) modest.
khiêm nhượng	() unassuming, self-effacing.
khiêm thuận	() modest and submissive.
khiêm tốn	() humble.
khiêm tốn	() modest.
khiêm tốn	() unobstrusive.
khiêm tốn	() unpretentious.
khiêm từ	() euphemism.
khiêm xưng	() refer to oneself with modesty.
khiên	() shield (used in the old times against spears, arrows...).
khiên chế	() to force, coerce.
khiên chương	() hood (academic attire).
khiên có gắn gia huy	(dtừ) escutcheon.
khiên cưỡng	() foreced.
khiên dẫn	() pull, lead.
khiên ngưu	() cowman.
khiên nhỏ	(dtừ) targe, pelta, target.
khiên quyết	(ttừ) stalwart.
khiên thành	() devout.
khiên trì	(thngữ) to stick to it.
khiêng	(đtừ) to carry.
khiêng động	() (gram) causative.
khiêng kiệu	() carry a sedan chair.
khiêng thuyền xuống	(dtừ) carry.
khiêng vác	() carry on one's shoulders (on one's back).
khiêu chiến	() to provoke.
khiêu chiến	() (thông tục) to pick a quarrel.
khiêu dâm	() sexy.
khiêu dâm	() erotic.
khiêu dâm	() pornographic.
khiêu động	() to excite.
khiêu động	() to provoke.
khiêu động	() to arouse.
khiêu khích	() to provoke.
khiêu nộ	() xem chọc tức.
khiêu vũ	() to dance.
khiêu vũ	() dancing.
khiêu vũ biểu diễn	(dtừ) step-dance.
khiêu vũ theo điệu nhạc pop	(dtừ) bop.
khiếm an	() be sick, be unwell.
khiếm chủ	() debtor.
khiếm chức	() derelict.
khiếm diện	() xem kết án khiếm diện, xử khiếm diện.
khiếm điểm	() shortcoming.
khiếm hảo	() not good.
khiếm khoáng	() derelict.
khiếm khoản	() debt.
khiếm khuyết	() shortcoming.
khiếm nhã	() impolite.
khiếm nhã	() uncivil.
khiếm nhã	() discourteous.
khiếm nhã	() indecent.
khiếm phải chịu	(ngđtừ) predispose.
khiếm thính	() hard of hearing, deaf.
khiếm thị	() sightless.
khiếm thị	() blind.
khiếm xuất	() in absentia.
khiến	() to order.
khiến	() xem làm cho.
khiến cho	() xem làm cho.
khiến cho có chiều hướng	(ngđtừ) incline.
khiến cho có khuynh hướng	(ngđtừ) incline.
khiến cho có ý thiên về	(ngđtừ) incline.
khiến cho dễ cảm xúc	(ngđtừ) sensitise.
khiến cho sẵn sàng	(ngđtừ) incline.
khiến nghe theo	(ttừ) persuasive.
khiến phải	(ngđtừ) reduce.
khiến thiên về	(ngđtừ) predispose.
khiến tin theo	(ttừ) persuasive.
khiếp	(đtừ) to fear.
khiếp	(đtừ) to dread.
khiếp	(đtừ) to be afraid.
khiếp!	(thán từ) pish.
